"","site","position","depth_cm","month","moisture_avg","moisture_sd","moisture_se"
"1","acidic tundra","dry",5,"early summer",26.77,3.55,0.14
"2","acidic tundra","dry",5,"late summer",23.54,2.5,0.1
"3","acidic tundra","dry",5,"mid summer",23.33,4.23,0.08
"4","acidic tundra","dry",15,"early summer",38.76,1.85,0.07
"5","acidic tundra","dry",15,"late summer",32.7,0.85,0.03
"6","acidic tundra","dry",15,"mid summer",30.14,3.11,0.06
"7","acidic tundra","dry",25,"early summer",40.2,0.86,0.03
"8","acidic tundra","dry",25,"late summer",38.55,0.07,0
"9","acidic tundra","dry",25,"mid summer",37.09,1.82,0.03
"10","acidic tundra","mesic",5,"early fall",20.79,3.82,0.11
"11","acidic tundra","mesic",5,"late summer",21.48,2.63,0.05
"12","acidic tundra","mesic",5,"mid summer",22.36,6.83,0.15
"13","acidic tundra","mesic",15,"early fall",36.7,0.49,0.01
"14","acidic tundra","mesic",15,"late summer",36.48,0.3,0.01
"15","acidic tundra","mesic",15,"mid summer",25.8,15.27,0.29
"16","acidic tundra","mesic",25,"early fall",35.02,0.19,0.01
"17","acidic tundra","mesic",25,"late summer",34.66,0.16,0
"18","acidic tundra","mesic",25,"mid summer",33.96,0.92,0.02
"19","acidic tundra","hydric",5,"early fall",42.87,5.04,0.13
"20","acidic tundra","hydric",5,"early summer",34.03,7.02,0.32
"21","acidic tundra","hydric",5,"late summer",44.08,4.68,0.11
"22","acidic tundra","hydric",5,"mid summer",37.59,11.17,0.32
"23","acidic tundra","hydric",15,"early fall",51.67,0.24,0.01
"24","acidic tundra","hydric",15,"early summer",50.74,1.09,0.05
"25","acidic tundra","hydric",15,"late summer",51.27,0.26,0.01
"26","acidic tundra","hydric",15,"mid summer",50.62,0.77,0.02
"27","acidic tundra","hydric",25,"early fall",46.45,0.11,0
"28","acidic tundra","hydric",25,"early summer",46.65,0.96,0.04
"29","acidic tundra","hydric",25,"late summer",46.38,0.14,0
"30","acidic tundra","hydric",25,"mid summer",46.33,0.27,0.01
"31","non-acidic tundra","dry",5,"early fall",9.3,1.01,0.04
"32","non-acidic tundra","dry",5,"late summer",9.72,1.16,0.03
"33","non-acidic tundra","dry",5,"mid summer",10.22,1.44,0.03
"34","non-acidic tundra","dry",15,"early fall",45.33,1.27,0.05
"35","non-acidic tundra","dry",15,"late summer",46.66,1.78,0.04
"36","non-acidic tundra","dry",15,"mid summer",47.99,2.72,0.07
"37","non-acidic tundra","dry",25,"early fall",48.97,0.13,0.01
"38","non-acidic tundra","dry",25,"late summer",48.7,0.12,0
"39","non-acidic tundra","dry",25,"mid summer",48.24,1.11,0.03
"40","non-acidic tundra","mesic",5,"early summer",1.07,0.03,0.01
"41","non-acidic tundra","hydric",5,"early fall",52.39,1.25,0.03
"42","non-acidic tundra","hydric",5,"late summer",49.74,1.89,0.05
"43","non-acidic tundra","hydric",5,"mid summer",46.1,6.68,0.19
"44","non-acidic tundra","hydric",15,"early fall",53.72,0.42,0.01
"45","non-acidic tundra","hydric",15,"late summer",52.84,0.38,0.01
"46","non-acidic tundra","hydric",15,"mid summer",52.74,0.5,0.01
"47","non-acidic tundra","hydric",25,"early fall",54.35,0.26,0.01
"48","non-acidic tundra","hydric",25,"late summer",53.81,0.16,0
"49","non-acidic tundra","hydric",25,"mid summer",53.77,0.24,0.01
