"","site","position","depth_cm","month","redox_avg_mV","redox_sd","year"
"1","non-acidic tundra","dry",5,"early fall",699.76,80.2,2021
"2","non-acidic tundra","dry",5,"early summer",569.73,46.91,2021
"3","non-acidic tundra","dry",5,"late summer",655.13,59.34,2021
"4","non-acidic tundra","dry",5,"mid summer",600.04,64.55,2021
"5","non-acidic tundra","dry",10,"early fall",730.94,19.76,2021
"6","non-acidic tundra","dry",10,"early summer",570.79,33.57,2021
"7","non-acidic tundra","dry",10,"late summer",675.11,52.93,2021
"8","non-acidic tundra","dry",10,"mid summer",626.51,42.64,2021
"9","non-acidic tundra","dry",20,"early fall",4.95,142.8,2021
"10","non-acidic tundra","dry",20,"late summer",148.12,286.36,2021
"11","non-acidic tundra","dry",20,"mid summer",365.79,292.9,2021
"12","non-acidic tundra","dry",30,"early fall",188.28,14.18,2021
"13","non-acidic tundra","dry",30,"early summer",-248.07,1.19,2021
"14","non-acidic tundra","dry",30,"late summer",152.8,140.34,2021
"15","non-acidic tundra","dry",30,"mid summer",141.55,166.67,2021
"16","non-acidic tundra","mesic",5,"early fall",-164.23,73.85,2021
"17","non-acidic tundra","mesic",5,"early summer",667.03,24.84,2021
"18","non-acidic tundra","mesic",5,"late summer",470.17,336.49,2021
"19","non-acidic tundra","mesic",5,"mid summer",707.46,23.13,2021
"20","non-acidic tundra","mesic",10,"early fall",-159.76,68.59,2021
"21","non-acidic tundra","mesic",10,"early summer",641.61,55.7,2021
"22","non-acidic tundra","mesic",10,"late summer",475.47,343.45,2021
"23","non-acidic tundra","mesic",10,"mid summer",652.76,53.73,2021
"24","non-acidic tundra","mesic",20,"early summer",457.15,93.63,2021
"25","non-acidic tundra","mesic",20,"late summer",232.77,385.74,2021
"26","non-acidic tundra","mesic",20,"mid summer",374.49,304.59,2021
"27","non-acidic tundra","mesic",30,"early summer",-71.05,110.72,2021
"28","non-acidic tundra","mesic",30,"late summer",-48.38,28.67,2021
"29","non-acidic tundra","mesic",30,"mid summer",29.44,167.24,2021
"30","non-acidic tundra","hydric",5,"early fall",503.41,57.87,2021
"31","non-acidic tundra","hydric",5,"early summer",618.23,56.78,2021
"32","non-acidic tundra","hydric",5,"late summer",537.26,50.11,2021
"33","non-acidic tundra","hydric",5,"mid summer",563.3,74.04,2021
"34","non-acidic tundra","hydric",7,"early fall",577.69,22.72,2021
"35","non-acidic tundra","hydric",7,"early summer",564.23,117.93,2021
"36","non-acidic tundra","hydric",7,"late summer",592.16,33.69,2021
"37","non-acidic tundra","hydric",7,"mid summer",596.73,35.38,2021
"38","non-acidic tundra","hydric",9,"early fall",566.9,47.32,2021
"39","non-acidic tundra","hydric",9,"early summer",523.91,187.22,2021
"40","non-acidic tundra","hydric",9,"late summer",477.13,220.82,2021
"41","non-acidic tundra","hydric",9,"mid summer",464.82,241.43,2021
"42","non-acidic tundra","hydric",11,"early fall",455.4,213.31,2021
"43","non-acidic tundra","hydric",11,"early summer",485.77,181.7,2021
"44","non-acidic tundra","hydric",11,"late summer",364.76,321.15,2021
"45","non-acidic tundra","hydric",11,"mid summer",381.97,351.44,2021
"46","non-acidic tundra","hydric",13,"early fall",439.05,273.66,2021
"47","non-acidic tundra","hydric",13,"early summer",485.41,188.7,2021
"48","non-acidic tundra","hydric",13,"late summer",346,371.63,2021
"49","non-acidic tundra","hydric",13,"mid summer",364.01,346.59,2021
"50","non-acidic tundra","hydric",23,"early fall",-126.98,101.37,2021
"51","non-acidic tundra","hydric",23,"early summer",224.64,84.2,2021
"52","non-acidic tundra","hydric",23,"late summer",-154.15,33.32,2021
"53","non-acidic tundra","hydric",23,"mid summer",-95.4,89.68,2021
"54","non-acidic tundra","hydric",33,"early fall",-117.3,106.02,2021
"55","non-acidic tundra","hydric",33,"early summer",266.3,73.64,2021
"56","non-acidic tundra","hydric",33,"late summer",-138.85,50.45,2021
"57","non-acidic tundra","hydric",33,"mid summer",10.31,146.63,2021
"58","non-acidic tundra","hydric",53,"early fall",-25.23,141.98,2021
"59","non-acidic tundra","hydric",53,"late summer",32.83,146.09,2021
"60","acidic tundra","dry",5,"early fall",709.39,42.22,2021
"61","acidic tundra","dry",5,"early summer",539.34,218.05,2021
"62","acidic tundra","dry",5,"late summer",718.67,30.24,2021
"63","acidic tundra","dry",5,"mid summer",662.49,125.41,2021
"64","acidic tundra","dry",10,"early fall",666.55,38.92,2021
"65","acidic tundra","dry",10,"early summer",448.01,167.91,2021
"66","acidic tundra","dry",10,"late summer",616.54,78.54,2021
"67","acidic tundra","dry",10,"mid summer",510.93,179.35,2021
"68","acidic tundra","dry",15,"early fall",644.74,148.58,2021
"69","acidic tundra","dry",15,"late summer",719.57,39.49,2021
"70","acidic tundra","dry",15,"mid summer",641.67,111.17,2021
"71","acidic tundra","dry",20,"early fall",-112.46,46.16,2021
"72","acidic tundra","dry",20,"early summer",433.7,151.06,2021
"73","acidic tundra","dry",20,"late summer",-55.43,114.42,2021
"74","acidic tundra","dry",20,"mid summer",109.27,186.45,2021
"75","acidic tundra","dry",25,"early fall",71.18,130.61,2021
"76","acidic tundra","dry",25,"late summer",-19.76,264.71,2021
"77","acidic tundra","dry",25,"mid summer",514.02,217.98,2021
"78","acidic tundra","dry",30,"early fall",-71.81,30.09,2021
"79","acidic tundra","dry",30,"early summer",417.77,179.42,2021
"80","acidic tundra","dry",30,"late summer",-20.6,147.69,2021
"81","acidic tundra","dry",30,"mid summer",351.11,123.6,2021
"82","acidic tundra","mesic",1,"early summer",567.41,63.65,2021
"83","acidic tundra","mesic",1,"late summer",458.19,186.85,2021
"84","acidic tundra","mesic",1,"mid summer",483.86,121.44,2021
"85","acidic tundra","mesic",5,"early summer",704.13,25.15,2021
"86","acidic tundra","mesic",5,"late summer",749.41,171.2,2021
"87","acidic tundra","mesic",5,"mid summer",729.82,32.43,2021
"88","acidic tundra","mesic",6,"early summer",750.23,29.78,2021
"89","acidic tundra","mesic",6,"late summer",697.86,127.77,2021
"90","acidic tundra","mesic",6,"mid summer",706.76,56.89,2021
"91","acidic tundra","mesic",10,"early summer",536.96,25.16,2021
"92","acidic tundra","mesic",10,"late summer",403.36,67.06,2021
"93","acidic tundra","mesic",10,"mid summer",524.1,176.19,2021
"94","acidic tundra","mesic",16,"early summer",-220.08,17.58,2021
"95","acidic tundra","mesic",16,"late summer",582.11,197.49,2021
"96","acidic tundra","mesic",16,"mid summer",560.28,232.31,2021
"97","acidic tundra","mesic",20,"late summer",167.21,37.52,2021
"98","acidic tundra","mesic",20,"mid summer",221.08,239.62,2021
