"","PhIr_SampleID","Area","Site","Depth_cm","Day","Month","Year","NPOC_sitemean_mgL","NPOC_se","TN_sitemean_mgL","TN_se","Month2","Date2"
"1","PhIr2022-1","acidic tundra","Dry",10,"27","Jun","2022",17.388,NA,3.814,NA,"6",2022-06-27
"2","PhIr2022-10","non-acidic tundra","Mesic",0,"29","Jun","2022",8.886,NA,1.015,NA,"6",2022-06-29
"3","PhIr2022-100","acidic tundra","Mesic",10,"25","Jul","2022",17.87,NA,1.274,NA,"7",2022-07-25
"4","PhIr2022-101","acidic tundra","Hydric",0,"25","Jul","2022",18.34,NA,1.371,NA,"7",2022-07-25
"5","PhIr2022-102","acidic tundra","Hydric",10,"25","Jul","2022",22.38,NA,1.409,NA,"7",2022-07-25
"6","PhIr2022-103","acidic tundra","Hydric",20,"25","Jul","2022",16.15,NA,1.282,NA,"7",2022-07-25
"7","PhIr2022-104","acidic tundra","Hydric",0,"25","Jul","2022",20.3,NA,1.327,NA,"7",2022-07-25
"8","PhIr2022-105","acidic tundra","Hydric",10,"25","Jul","2022",24.77,NA,1.818,NA,"7",2022-07-25
"9","PhIr2022-106","acidic tundra","Hydric",20,"25","Jul","2022",16.38,NA,2.371,NA,"7",2022-07-25
"10","PhIr2022-107","acidic tundra","Hydric",0,"25","Jul","2022",32.08,NA,1.679,NA,"7",2022-07-25
"11","PhIr2022-108","acidic tundra","Hydric",10,"25","Jul","2022",59.8,NA,3.385,NA,"7",2022-07-25
"12","PhIr2022-109","acidic tundra","Hydric",20,"25","Jul","2022",37.38,NA,3.525,NA,"7",2022-07-25
"13","PhIr2022-11","non-acidic tundra","Mesic",10,"29","Jun","2022",7.091,NA,0.967,NA,"6",2022-06-29
"14","PhIr2022-110","non-acidic tundra","Dry",0,"26","Jul","2022",9.588,NA,1.22,NA,"7",2022-07-26
"15","PhIr2022-111","non-acidic tundra","Dry",10,"26","Jul","2022",11.09,NA,10.34,NA,"7",2022-07-26
"16","PhIr2022-112","non-acidic tundra","Dry",20,"26","Jul","2022",12.67,NA,73.97,NA,"7",2022-07-26
"17","PhIr2022-113","non-acidic tundra","Dry",20,"26","Jul","2022",11.96,NA,1.222,NA,"7",2022-07-26
"18","PhIr2022-114","non-acidic tundra","Mesic",20,"26","Jul","2022",9.269,NA,1.113,NA,"7",2022-07-26
"19","PhIr2022-115","non-acidic tundra","Mesic",0,"26","Jul","2022",14.04,NA,24.06,NA,"7",2022-07-26
"20","PhIr2022-116","non-acidic tundra","Mesic",10,"26","Jul","2022",12.52,NA,1.538,NA,"7",2022-07-26
"21","PhIr2022-117","non-acidic tundra","Mesic",20,"26","Jul","2022",14.4,NA,1.401,NA,"7",2022-07-26
"22","PhIr2022-118","non-acidic tundra","Mesic",0,"26","Jul","2022",13.03,NA,1.236,NA,"7",2022-07-26
"23","PhIr2022-119","non-acidic tundra","Mesic",10,"26","Jul","2022",13.23,NA,1.196,NA,"7",2022-07-26
"24","PhIr2022-12","non-acidic tundra","Mesic",20,"29","Jun","2022",11.69,NA,1.496,NA,"6",2022-06-29
"25","PhIr2022-120","non-acidic tundra","Mesic",20,"26","Jul","2022",13.71,NA,1.185,NA,"7",2022-07-26
"26","PhIr2022-121","non-acidic tundra","Hydric",0,"26","Jul","2022",7.876,NA,1.232,NA,"7",2022-07-26
"27","PhIr2022-122","non-acidic tundra","Hydric",10,"26","Jul","2022",8.098,NA,2.18,NA,"7",2022-07-26
"28","PhIr2022-123","non-acidic tundra","Hydric",20,"26","Jul","2022",9.15,NA,1.46,NA,"7",2022-07-26
"29","PhIr2022-124","non-acidic tundra","Hydric",40,"26","Jul","2022",11.89,NA,1.826,NA,"7",2022-07-26
"30","PhIr2022-125","non-acidic tundra","Hydric",0,"26","Jul","2022",9.97,NA,1.63,NA,"7",2022-07-26
"31","PhIr2022-126","non-acidic tundra","Hydric",10,"26","Jul","2022",8.809,NA,4.048,NA,"7",2022-07-26
