"","day","month","area","plot","site","soil_layer","dry_wet","year","plotnum","BG","LAP","NAG","PHOS"
"1",28,"Jul","East","D1","Dry","Organic",0.3734,"2022","1",9661.26,1e-06,1e-06,10238.7
"2",28,"Jul","East","D2","Dry","Organic",0.3666,"2022","2",7663.13,1e-06,1e-06,31626.47
"3",28,"Jul","East","D3","Dry","Organic",0.3688,"2022","3",6997.15,1e-06,1e-06,28580.7
"4",28,"Jul","East","M1","Mesic","Organic",0.2236,"2022","1",18091.58,1e-06,1e-06,25909.98
"5",28,"Jul","East","M2","Mesic","Organic",0.2028,"2022","2",23590.07,234.41,1e-06,49481.92
"6",28,"Jul","East","M3","Mesic","Organic",0.1606,"2022","3",13304.47,61.59,1e-06,64189.91
"7",28,"Jul","East","H1","Hydric","Organic",0.2298,"2022","1",9442.39,11.42,1e-06,52212.46
"8",28,"Jul","East","H2","Hydric","Organic",0.2314,"2022","2",14751.56,73.49,1e-06,29822.9
"9",28,"Jul","East","H3","Hydric","Organic",0.1588,"2022","3",4924.22,1e-06,1e-06,7881.74
"10",28,"Jul","East","D1","Dry","Mineral",0.8432,"2022","1",1e-06,1e-06,1e-06,1e-06
"11",28,"Jul","East","D2","Dry","Mineral",0.7462,"2022","2",403.49,1e-06,1e-06,219.55
"12",28,"Jul","East","D3","Dry","Mineral",0.432,"2022","3",9067.63,1e-06,1e-06,11545.12
"13",28,"Jul","East","M1","Mesic","Mineral",0.7884,"2022","1",1e-06,1e-06,1e-06,776.32
"14",28,"Jul","East","M2","Mesic","Mineral",0.5614,"2022","2",1e-06,1e-06,1e-06,1e-06
"15",28,"Jul","East","M3","Mesic","Mineral",0.6976,"2022","3",1e-06,1e-06,1e-06,1e-06
"16",28,"Jul","East","H1","Hydric","Mineral",0.5536,"2022","1",1e-06,1e-06,1e-06,1e-06
"17",28,"Jul","East","H2","Hydric","Mineral",0.557,"2022","2",1e-06,1e-06,1e-06,1381.7
"18",28,"Jul","East","H3","Hydric","Mineral",0.4756,"2022","3",615.76,1e-06,1e-06,2171.5
"19",4,"Aug","West","D1","Dry","Organic",0.1742,"2022","1",28212.9,870.78,1e-06,69510.2
"20",4,"Aug","West","D2","Dry","Organic",0.1864,"2022","2",38296.55,526.22,1e-06,38856.93
"21",4,"Aug","West","D3","Dry","Organic",0.1962,"2022","3",18018.72,649.84,1e-06,64247.42
"22",4,"Aug","West","M1","Mesic","Organic",0.1776,"2022","1",24931.02,802.66,1e-06,31928.14
"23",4,"Aug","West","M2","Mesic","Organic",0.1718,"2022","2",34361.97,1097.01,1e-06,57776.02
"24",4,"Aug","West","M3","Mesic","Organic",0.1686,"2022","3",33529.21,669.36,1e-06,42799.15
"25",4,"Aug","West","H1","Hydric","Organic",0.2052,"2022","1",993.42,1e-06,1e-06,15457.84
"26",4,"Aug","West","H2","Hydric","Organic",0.2356,"2022","2",3806.91,1e-06,1e-06,3406.02
"27",4,"Aug","West","H3","Hydric","Organic",0.1842,"2022","3",7759.18,1e-06,1e-06,19919.09
"28",4,"Aug","West","D1","Dry","Mineral",0.684,"2022","1",745.56,1e-06,1e-06,1e-06
"29",4,"Aug","West","D2","Dry","Mineral",0.6884,"2022","2",1816.33,1e-06,1e-06,2647.5
"30",4,"Aug","West","D3","Dry","Mineral",0.6466,"2022","3",4732.95,1e-06,1e-06,5987.03
"31",4,"Aug","West","M1","Mesic","Mineral",0.8216,"2022","1",336.21,1e-06,1e-06,333.8
"32",4,"Aug","West","M2","Mesic","Mineral",0.8572,"2022","2",967.14,1e-06,1e-06,285.93
"33",4,"Aug","West","M3","Mesic","Mineral",0.8298,"2022","3",1e-06,1e-06,1e-06,1e-06
"34",4,"Aug","West","H1","Hydric","Mineral",0.6324,"2022","1",1e-06,1e-06,1e-06,123.83
"35",4,"Aug","West","H2","Hydric","Mineral",0.2642,"2022","2",6462.66,1e-06,1e-06,16751.82
"36",3,"Aug","East","D1","Dry","Organic",0.2316,"2021","1",NA,154.68,NA,NA
"37",3,"Aug","East","D2","Dry","Organic",0.3124,"2021","2",2147.42,122.13,3304.98,NA
"38",3,"Aug","East","D3","Dry","Organic",0.2792,"2021","3",4651.83,8.85,4675.62,10381.19
"39",3,"Aug","East","M1","Mesic","Organic",0.2168,"2021","1",NA,240.93,NA,NA
"40",3,"Aug","East","M2","Mesic","Organic",0.2626,"2021","2",NA,98.37,7440.36,NA
"41",3,"Aug","East","M3","Mesic","Organic",0.4072,"2021","3",4177.51,54.06,3171.86,8196.28
"42",3,"Aug","East","H1","Hydric","Organic",0.1942,"2021","1",NA,215.51,NA,NA
"43",3,"Aug","East","H2","Hydric","Organic",0.3166,"2021","2",NA,8.47,4723.3,7655.31
"44",3,"Aug","East","H3","Hydric","Organic",0.2682,"2021","3",3818.95,34.53,2702.84,7841.04
"45",3,"Aug","East","D1","Dry","Mineral",0.8046,"2021","1",599.71,1e-06,269.67,1140.7
"46",3,"Aug","East","D2","Dry","Mineral",0.7856,"2021","2",1007.27,1e-06,557.38,1090.44
"47",3,"Aug","East","D3","Dry","Mineral",0.755,"2021","3",622.74,1e-06,740.69,2688.71
"48",3,"Aug","East","M1","Mesic","Mineral",0.747,"2021","1",595.82,1e-06,246.1,1078.65
"49",3,"Aug","East","M2","Mesic","Mineral",0.7734,"2021","2",196.05,1e-06,205.38,723.44
"50",3,"Aug","East","M3","Mesic","Mineral",0.7572,"2021","3",427.4,1e-06,171.97,1449.2
"51",3,"Aug","East","H1","Hydric","Mineral",0.7122,"2021","1",489.18,1e-06,587.51,1734.24
"52",3,"Aug","East","H2","Hydric","Mineral",0.6666,"2021","2",372.88,1e-06,506.27,155.21
"53",3,"Aug","East","H3","Hydric","Mineral",0.481,"2021","3",1128.03,1e-06,902.74,1316.9
"54",6,"Aug","West","D1","Dry","Organic",0.0586,"2021","1",6734.76,1857.28,2153,7789.23
"55",6,"Aug","West","D2","Dry","Organic",0.0544,"2021","2",7420,1955.91,1679.66,5684.44
"56",6,"Aug","West","D3","Dry","Organic",0.0594,"2021","3",7695.28,2344.42,2471.25,6640.9
"57",6,"Aug","West","M1","Mesic","Organic",0.0442,"2021","1",3895.92,1597.47,3442.06,51.3
"58",6,"Aug","West","M2","Mesic","Organic",0.0518,"2021","2",3472.42,1922.64,1256.59,5189.51
"59",6,"Aug","West","M3","Mesic","Organic",0.0506,"2021","3",5233.45,3152.38,1870.01,6375.82
"60",6,"Aug","West","H1","Hydric","Organic",0.045,"2021","1",4256.85,504.79,1509.13,4346.68
