"","site","position","volumetric_water_content_cm3_cm3","date2","depth_cm","moisture"
"1","acidic tundra","dry",0.1645,2021-07-06,15,36.07397
"2","acidic tundra","dry",0.1645,2021-07-06,15,36.09085
"3","acidic tundra","dry",0.1645,2021-07-06,15,36.11216
"4","acidic tundra","dry",0.1645,2021-07-06,15,36.1552
"5","acidic tundra","dry",0.1645,2021-07-06,15,36.1733
"6","acidic tundra","dry",0.1645,2021-07-06,15,36.15601
"7","acidic tundra","dry",0.1645,2021-07-06,15,36.14473
"8","acidic tundra","dry",0.1645,2021-07-06,15,36.07036
"9","acidic tundra","dry",0.1645,2021-07-06,15,36.0993
"10","acidic tundra","dry",0.1645,2021-07-06,15,36.03741
"11","acidic tundra","dry",0.1645,2021-07-06,15,36.02617
"12","acidic tundra","dry",0.1645,2021-07-06,15,36.01131
"13","acidic tundra","dry",0.1645,2021-07-06,15,36.01011
"14","acidic tundra","dry",0.1645,2021-07-06,15,35.99847
"15","acidic tundra","dry",0.21,2021-07-06,15,36.07397
"16","acidic tundra","dry",0.21,2021-07-06,15,36.09085
"17","acidic tundra","dry",0.21,2021-07-06,15,36.11216
"18","acidic tundra","dry",0.21,2021-07-06,15,36.1552
"19","acidic tundra","dry",0.21,2021-07-06,15,36.1733
"20","acidic tundra","dry",0.21,2021-07-06,15,36.15601
"21","acidic tundra","dry",0.21,2021-07-06,15,36.14473
"22","acidic tundra","dry",0.21,2021-07-06,15,36.07036
"23","acidic tundra","dry",0.21,2021-07-06,15,36.0993
"24","acidic tundra","dry",0.21,2021-07-06,15,36.03741
"25","acidic tundra","dry",0.21,2021-07-06,15,36.02617
"26","acidic tundra","dry",0.21,2021-07-06,15,36.01131
"27","acidic tundra","dry",0.21,2021-07-06,15,36.01011
"28","acidic tundra","dry",0.21,2021-07-06,15,35.99847
"29","acidic tundra","dry",0.178,2021-07-06,5,32.68103
"30","acidic tundra","dry",0.178,2021-07-06,5,32.71487
"31","acidic tundra","dry",0.178,2021-07-06,5,32.63233
"32","acidic tundra","dry",0.178,2021-07-06,5,32.5495
"33","acidic tundra","dry",0.178,2021-07-06,5,32.3582
"34","acidic tundra","dry",0.178,2021-07-06,5,32.14524
"35","acidic tundra","dry",0.178,2021-07-06,5,31.81842
"36","acidic tundra","dry",0.178,2021-07-06,5,31.56466
"37","acidic tundra","dry",0.178,2021-07-06,5,30.90794
"38","acidic tundra","dry",0.178,2021-07-06,5,30.84449
"39","acidic tundra","dry",0.178,2021-07-06,5,30.68444
"40","acidic tundra","dry",0.178,2021-07-06,5,30.70267
"41","acidic tundra","dry",0.178,2021-07-06,5,30.76207
"42","acidic tundra","dry",0.4074,2021-07-06,15,36.07397
"43","acidic tundra","dry",0.4074,2021-07-06,15,36.09085
"44","acidic tundra","dry",0.4074,2021-07-06,15,36.11216
"45","acidic tundra","dry",0.4074,2021-07-06,15,36.1552
"46","acidic tundra","dry",0.4074,2021-07-06,15,36.1733
"47","acidic tundra","dry",0.4074,2021-07-06,15,36.15601
"48","acidic tundra","dry",0.4074,2021-07-06,15,36.14473
"49","acidic tundra","dry",0.4074,2021-07-06,15,36.07036
"50","acidic tundra","dry",0.4074,2021-07-06,15,36.0993
"51","acidic tundra","dry",0.4074,2021-07-06,15,36.03741
"52","acidic tundra","dry",0.4074,2021-07-06,15,36.02617
"53","acidic tundra","dry",0.4074,2021-07-06,15,36.01131
"54","acidic tundra","dry",0.4074,2021-07-06,15,36.01011
"55","acidic tundra","dry",0.4074,2021-07-06,15,35.99847
"56","acidic tundra","dry",0.2745,2021-07-06,5,32.68103
"57","acidic tundra","dry",0.2745,2021-07-06,5,32.71487
"58","acidic tundra","dry",0.2745,2021-07-06,5,32.63233
"59","acidic tundra","dry",0.2745,2021-07-06,5,32.5495
"60","acidic tundra","dry",0.2745,2021-07-06,5,32.3582
"61","acidic tundra","dry",0.2745,2021-07-06,5,32.14524
"62","acidic tundra","dry",0.2745,2021-07-06,5,31.81842
"63","acidic tundra","dry",0.2745,2021-07-06,5,31.56466
"64","acidic tundra","dry",0.2745,2021-07-06,5,30.90794
"65","acidic tundra","dry",0.2745,2021-07-06,5,30.84449
"66","acidic tundra","dry",0.2745,2021-07-06,5,30.68444
"67","acidic tundra","dry",0.2745,2021-07-06,5,30.70267
"68","acidic tundra","dry",0.2745,2021-07-06,5,30.76207
"69","acidic tundra","dry",0.2856,2021-07-06,15,36.07397
"70","acidic tundra","dry",0.2856,2021-07-06,15,36.09085
"71","acidic tundra","dry",0.2856,2021-07-06,15,36.11216
"72","acidic tundra","dry",0.2856,2021-07-06,15,36.1552
"73","acidic tundra","dry",0.2856,2021-07-06,15,36.1733
"74","acidic tundra","dry",0.2856,2021-07-06,15,36.15601
"75","acidic tundra","dry",0.2856,2021-07-06,15,36.14473
"76","acidic tundra","dry",0.2856,2021-07-06,15,36.07036
"77","acidic tundra","dry",0.2856,2021-07-06,15,36.0993
"78","acidic tundra","dry",0.2856,2021-07-06,15,36.03741
"79","acidic tundra","dry",0.2856,2021-07-06,15,36.02617
"80","acidic tundra","dry",0.2856,2021-07-06,15,36.01131
"81","acidic tundra","dry",0.2856,2021-07-06,15,36.01011
"82","acidic tundra","dry",0.2856,2021-07-06,15,35.99847
"83","acidic tundra","mesic",0.2168,2021-07-06,15,37.2926
"84","acidic tundra","mesic",0.2168,2021-07-06,15,37.29387
"85","acidic tundra","mesic",0.2168,2021-07-06,15,37.33305
"86","acidic tundra","mesic",0.2168,2021-07-06,15,37.43302
"87","acidic tundra","mesic",0.2168,2021-07-06,15,37.43048
"88","acidic tundra","mesic",0.2168,2021-07-06,15,37.4212
"89","acidic tundra","mesic",0.2168,2021-07-06,15,37.41654
"90","acidic tundra","mesic",0.2168,2021-07-06,15,37.41359
"91","acidic tundra","mesic",0.2168,2021-07-06,15,37.30735
"92","acidic tundra","mesic",0.2168,2021-07-06,15,37.26228
"93","acidic tundra","mesic",0.2168,2021-07-06,15,37.26734
"94","acidic tundra","mesic",0.2168,2021-07-06,15,37.22062
"95","acidic tundra","mesic",0.2168,2021-07-06,15,37.22609
"96","acidic tundra","mesic",0.2168,2021-07-06,15,37.22356
"97","acidic tundra","mesic",0.1878,2021-07-06,25,34.08031
"98","acidic tundra","mesic",0.1878,2021-07-06,25,34.08783
"99","acidic tundra","mesic",0.1878,2021-07-06,25,34.08683
"100","acidic tundra","mesic",0.1878,2021-07-06,25,34.17008
"101","acidic tundra","mesic",0.1878,2021-07-06,25,34.21877
"102","acidic tundra","mesic",0.1878,2021-07-06,25,34.21626
"103","acidic tundra","mesic",0.1878,2021-07-06,25,34.21075
