"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"1","20210706-E-D1_O1","20210706-E-D1","6-Jul-21","acidic tundra","Dry","1","E-D1","O1","10.5","10","10","10.5","10.3","10.3","0.05","0.1645","organic","Plot-1-1","Plot-1","analyzed"
"2","20210706-E-D1_O2","20210706-E-D1","6-Jul-21","acidic tundra","Dry","1","E-D1","O2","5.5","5","4.5","5.5","5.1","15.4","0.06","0.21","organic","Plot-1-1","Plot-1","analyzed"
"3","20210706-E-D2_O","20210706-E-D2","6-Jul-21","acidic tundra","Dry","2","E-D2","O","5.5","5.5","7.5","5","5.9","5.9","0.04","0.178","organic","Plot-1-2","Plot-1","analyzed"
"4","20210706-E-D2_M","20210706-E-D2","6-Jul-21","acidic tundra","Dry","2","E-D2","M","13","11","11.5","12.5","12","17.9","0.42","0.4074","mineral","Plot-1-2","Plot-1","analyzed"
"5","20210706-E-D3_O","20210706-E-D3","6-Jul-21","acidic tundra","Dry","3","E-D3","O","8","8","8.5","9.5","8.5","8.5","0.09","0.2745","organic","Plot-1-3","Plot-1","analyzed"
"6","20210706-E-D3_M","20210706-E-D3","6-Jul-21","acidic tundra","Dry","3","E-D3","M","11","11","10","10.5","10.6","19.1","0.68","0.2856","mineral","Plot-1-3","Plot-1","analyzed"
"7","20210706-E-M1_O1","20210706-E-M1","6-Jul-21","acidic tundra","Mesic","1","E-M1","O1","13.5","13","12.5","13.5","13.1","13.1","0.04","0.2168","organic","Plot-1-1","Plot-1","analyzed"
"8","20210706-E-M1_O2","20210706-E-M1","6-Jul-21","acidic tundra","Mesic","1","E-M1","O2","7","9.5","9","8","8.4","21.5","0.03","0.1878","organic","Plot-1-1","Plot-1","analyzed"
"9","20210706-E-M2_O","20210706-E-M2","6-Jul-21","acidic tundra","Mesic","2","E-M2","O","3.5","4","5","4.5","4.3","4.3","0.08","0.2584","organic","Plot-1-2","Plot-1","analyzed"
"10","20210706-E-M2_M","20210706-E-M2","6-Jul-21","acidic tundra","Mesic","2","E-M2","M","11.5","13","13.5","13.5","12.9","17.2","1.13","0.339","mineral","Plot-1-2","Plot-1","analyzed"
