"","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"1","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Al_ug_mL",0.71
"2","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Ca_ug_mL",4.49
"3","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Fe_ug_mL",0.57
"4","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"K_ug_mL",1.54
"5","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Mg_ug_mL",0.85
"6","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Mn_ug_mL",0.49
"7","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"Na_ug_mL",0.87
"8","PhIr2022-2","27","06","2022","15:46","acidic tundra","Mesic",2,10,2022-06-27,"P_ug_mL",0.02
"9","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Al_ug_mL",1.09
"10","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Ca_ug_mL",6.67
"11","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Fe_ug_mL",0.62
"12","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"K_ug_mL",2.2
"13","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Mg_ug_mL",1.26
"14","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Mn_ug_mL",0.84
"15","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"Na_ug_mL",1.22
"16","PhIr2022-3","27","06","2022","16:20","acidic tundra","Mesic",3,10,2022-06-27,"P_ug_mL",0.07
"17","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Al_ug_mL",0.53
"18","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Ca_ug_mL",4.3
"19","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Fe_ug_mL",1.65
"20","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"K_ug_mL",0.74
"21","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Mg_ug_mL",0.93
"22","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Mn_ug_mL",2.99
"23","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"Na_ug_mL",0.62
"24","PhIr2022-4","27","06","2022","16:52","acidic tundra","Hydric",3,10,2022-06-27,"P_ug_mL",0.01
"25","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Al_ug_mL",0.28
"26","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Ca_ug_mL",3.29
"27","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Fe_ug_mL",0.57
"28","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"K_ug_mL",0.27
"29","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Mg_ug_mL",0.62
"30","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Mn_ug_mL",0.24
"31","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"Na_ug_mL",0.41
"32","PhIr2022-5","27","06","2022","16:55","acidic tundra","Hydric",2,10,2022-06-27,"P_ug_mL",0.01
"33","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"Al_ug_mL",0.37
"34","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"Ca_ug_mL",2.41
"35","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"Fe_ug_mL",1.17
"36","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"K_ug_mL",1.15
"37","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"Mg_ug_mL",0.62
"38","PhIr2022-6","27","06","2022","17:20","acidic tundra","Hydric",1,10,2022-06-27,"Mn_ug_mL",0.42
