"area","site","soilhorizon","pH","ca_mgkg","k_mgkg","mg_mgkg","mn_mgkg","p_mgkg","zn_mgkg","nh4_n_mgkg","no3_n_mgkg","cperc","nperc","to_cperc"
"non-acidic tundra","dry","O","6.06 ± 0.19","13060.71 ± 883.5","366.88 ± 93.68","762.16 ± 6.38","511.79 ± 256.14","50.88 ± 16.02","50.37 ± 17.15","13.99 ± 6.64","47.15 ± 4.34","47.15 ± 4.34","1.31 ± 0.16","42.05 ± 1.84"
"non-acidic tundra","dry","O1","5.74 ± 0.26","10816.56 ± 1049.56","708.88 ± 86.79","726.51 ± 51.42","299.59 ± 42.65","78.73 ± 2.61","53.27 ± 6.91","28.63 ± 2.53","52.07 ± 2.07","52.07 ± 2.07","1.08 ± 0.12","48.38 ± 1.23"
"non-acidic tundra","dry","O2","6.03 ± 0.11","12067.22 ± 1109.42","120.16 ± 18.7","520.48 ± 45.59","678.81 ± 185.1","40.61 ± 6.92","39.97 ± 7.42","8.38 ± 0.82","31.85 ± 2.48","31.85 ± 2.48","1.29 ± 0.06","27.29 ± 1.73"
"non-acidic tundra","mesic","M","5.3 ± NA","1674.73 ± NA","15.01 ± NA","82.45 ± NA","8.34 ± NA","236.01 ± NA","2.38 ± NA","4.57 ± NA","2.46 ± NA","2.46 ± NA","0.28 ± NA","2 ± NA"
"non-acidic tundra","mesic","O","5.33 ± 0.46","8507.41 ± 3487.01","445.52 ± 63.75","518.57 ± 117.11","686.71 ± 162.76","65.39 ± 16.47","40.37 ± 14.02","27.58 ± 9.22","38.24 ± 9.5","38.24 ± 9.5","1.23 ± 0.33","35.43 ± 10.15"
"non-acidic tundra","mesic","O1","5.82 ± 0.33","13203.4 ± 1048.14","556.71 ± 121.38","847.98 ± 25.65","403.6 ± 57.06","69.58 ± 9.31","59.93 ± 7.63","36.17 ± 11.76","54.54 ± 4.18","54.54 ± 4.18","1.18 ± 0.16","50.78 ± 0.43"
"non-acidic tundra","mesic","O2","5.91 ± 0.09","14134.98 ± 851.43","190.45 ± 19.4","700.42 ± 45.4","1283.5 ± 281.97","40.34 ± 3.64","52.51 ± 7.12","24.11 ± 3.95","46.33 ± 0.85","46.33 ± 0.85","1.8 ± 0.07","41.67 ± 0.97"
"non-acidic tundra","hydric","O1","6.32 ± 0.27","14700.1 ± 1505.44","236.32 ± 35.17","726.89 ± 113.02","890.66 ± 195.96","37.05 ± 6.69","50.78 ± 10.62","19.98 ± 2.31","46.66 ± 1.89","46.66 ± 1.89","1.93 ± 0.11","42.16 ± 1.53"
"non-acidic tundra","hydric","O2","6.24 ± 0.12","14569.3 ± 1375.83","90.29 ± 24.33","649.89 ± 92.57","749.43 ± 411.09","26.16 ± 4.14","54.84 ± 19.76","14.29 ± 2.12","46.74 ± 1.42","46.74 ± 1.42","2.17 ± 0.08","43.29 ± 1.6"
"acidic tundra","dry","M","5.17 ± 0.35","1277.9 ± 321.56","49.13 ± 18.78","142.26 ± 36.99","58.97 ± 32.49","20.13 ± 6.39","4.97 ± 2.79","5.16 ± 2.21","6.58 ± 4.32","6.58 ± 4.32","0.43 ± 0.15","5.01 ± 3.07"
"acidic tundra","dry","O","4.69 ± 0.14","3311.05 ± 205.75","479.49 ± 103.39","395.93 ± 43.76","324.91 ± 15.26","48.71 ± 6.2","20.9 ± 1.26","27.29 ± 10.06","29.09 ± 7.04","29.09 ± 7.04","1.14 ± 0.63","25.59 ± 9.08"
"acidic tundra","dry","O1","4.48 ± 0.13","4887.73 ± 431.99","969.59 ± 241.54","605.41 ± 55.78","442.75 ± 69.22","79.81 ± 19.64","48.78 ± 14.52","37.67 ± 3.76","52.18 ± 1.87","52.18 ± 1.87","1.08 ± 0.05","51.06 ± 2.16"
"acidic tundra","dry","O2","4.78 ± 0.16","3675.01 ± 909.14","139.03 ± 31.55","292.2 ± 29.17","108.91 ± 44.56","22.1 ± 4.6","9.94 ± 3.02","13.4 ± 2.01","26.31 ± 3.55","26.31 ± 3.55","1.12 ± 0.15","22.35 ± 3.08"
"acidic tundra","mesic","M","4.8 ± 0.05","694.01 ± 176.48","32.95 ± 8.51","102.4 ± 23.22","43.39 ± 11.76","13.61 ± 1.89","2.93 ± 0.59","5.16 ± 0.57","3.27 ± 0.9","3.27 ± 0.9","0.32 ± 0.07","3.35 ± 1.18"
"acidic tundra","mesic","M1","4.7 ± NA","342.73 ± NA","28.64 ± NA","35.84 ± NA","42.42 ± NA","52.79 ± NA","2.07 ± NA","5.94 ± NA","1.3 ± NA","1.3 ± NA","0.19 ± NA","1.09 ± NA"
"acidic tundra","mesic","M2","4.71 ± NA","347.18 ± NA","19.56 ± NA","53.34 ± NA","44.34 ± NA","16.46 ± NA","1.72 ± NA","3.54 ± NA","1.53 ± NA","1.53 ± NA","0.21 ± NA","1.33 ± NA"
"acidic tundra","mesic","O","4.46 ± 0.22","4288.93 ± 1641.71","777.76 ± 180.63","583.1 ± 177.02","437.82 ± 153.7","84.86 ± 14.88","32.57 ± 9.26","40.93 ± 8.82","41.65 ± 8.6","41.65 ± 8.6","1.01 ± 0.18","39.48 ± 7.49"
"acidic tundra","mesic","O1","4.56 ± 0.26","5177.91 ± 374.58","1066.09 ± 216.07","703.48 ± 80.45","464.52 ± 44.66","85.68 ± 1.8","72.67 ± 27.14","51.52 ± 23.48","51.97 ± 1.75","51.97 ± 1.75","1.12 ± 0.02","51.54 ± 1.34"
"acidic tundra","hydric","M","4.64 ± NA","544.66 ± NA","21.48 ± NA","67.6 ± NA","19.58 ± NA","10.83 ± NA","3.1 ± NA","18.1 ± NA","11.6 ± NA","11.6 ± NA","0.79 ± NA","10.38 ± NA"
"acidic tundra","hydric","O1","5.09 ± 0.11","6423.42 ± 135.73","715.73 ± 270.25","746.81 ± 119.43","1631.47 ± 52.82","67.26 ± 17.03","39.66 ± 7.35","44.84 ± 2.88","54.69 ± 1.93","54.69 ± 1.93","1.27 ± 0.21","49.05 ± 1.47"
"acidic tundra","hydric","O2","4.94 ± 0.12","3162.65 ± 554.83","124.82 ± 21.13","275.39 ± 41.99","716.33 ± 211.86","24.26 ± 5.43","14.99 ± 3.09","27.25 ± 2.23","36.47 ± 3.05","36.47 ± 3.05","1.58 ± 0.1","28.14 ± 3.15"
