"","Area","Site","Horizon","mean_bd","sd_bd","mean_vwc","sd_vwc"
"1","acidic tundra","Dry","O",0.11,0.12,0.21,0.11
"2","acidic tundra","Dry","O1",0.06,0.03,0.19,0.05
"3","acidic tundra","Dry","O2",0.27,0.13,0.47,0.15
"4","acidic tundra","Dry","M",0.73,0.46,0.36,0.06
"5","acidic tundra","Mesic","O",0.11,0.06,0.22,0.04
"6","acidic tundra","Mesic","O1",0.06,0.02,0.22,0.01
"7","acidic tundra","Mesic","O2",0.07,0.06,0.26,0.1
"8","acidic tundra","Mesic","M",1.02,0.14,0.42,0.08
"9","acidic tundra","Mesic","M1",0.99,NA,0.29,NA
"10","acidic tundra","Mesic","M2",1.28,NA,0.32,NA
"11","acidic tundra","Hydric","O1",0.06,0.03,0.3,0.12
"12","acidic tundra","Hydric","O2",0.17,0.05,0.53,0.09
"13","acidic tundra","Hydric","M",0.8,NA,0.49,NA
"14","non-acidic tundra","Dry","O",0.11,0.04,0.42,0.08
"15","non-acidic tundra","Dry","O1",0.06,0.02,0.24,0.05
"16","non-acidic tundra","Dry","O2",0.21,0.1,0.56,0.08
"17","non-acidic tundra","Mesic","O",0.09,NA,0.42,NA
"18","non-acidic tundra","Mesic","O1",0.06,0.01,0.29,0.1
"19","non-acidic tundra","Mesic","O2",0.15,0.02,0.56,0.04
"20","non-acidic tundra","Mesic","M",0.91,0.1,0.41,0.14
"21","non-acidic tundra","Hydric","O1",0.12,0.05,0.5,0.12
"22","non-acidic tundra","Hydric","O2",0.12,0.02,0.57,0.08
