"","Area","Site","Depth_cm","year","month","day","ICP","mean","sd","month2","date_plot","area_site"
"1","acidic tundra","Dry",10,"2022","06","27","Al_ug_mL",20.5,NA,"June","June-27-2022","acidic tundra-Dry"
"2","acidic tundra","Dry",10,"2022","06","27","Ca_ug_mL",119.4,NA,"June","June-27-2022","acidic tundra-Dry"
"3","acidic tundra","Dry",10,"2022","06","27","Fe_ug_mL",8.6,NA,"June","June-27-2022","acidic tundra-Dry"
"4","acidic tundra","Dry",10,"2022","06","27","K_ug_mL",26.9,NA,"June","June-27-2022","acidic tundra-Dry"
"5","acidic tundra","Dry",10,"2022","06","27","Mg_ug_mL",13.8,NA,"June","June-27-2022","acidic tundra-Dry"
"6","acidic tundra","Dry",10,"2022","06","27","Mn_ug_mL",4.9,NA,"June","June-27-2022","acidic tundra-Dry"
"7","acidic tundra","Dry",10,"2022","06","27","Na_ug_mL",19,NA,"June","June-27-2022","acidic tundra-Dry"
"8","acidic tundra","Dry",10,"2022","06","27","P_ug_mL",0.5,NA,"June","June-27-2022","acidic tundra-Dry"
"9","acidic tundra","Dry",10,"2022","07","18","Al_ug_mL",0.28,NA,"July","July-18-2022","acidic tundra-Dry"
"10","acidic tundra","Dry",10,"2022","07","18","Ca_ug_mL",8.03,NA,"July","July-18-2022","acidic tundra-Dry"
"11","acidic tundra","Dry",10,"2022","07","18","Fe_ug_mL",0.22,NA,"July","July-18-2022","acidic tundra-Dry"
"12","acidic tundra","Dry",10,"2022","07","18","K_ug_mL",0.43,NA,"July","July-18-2022","acidic tundra-Dry"
"13","acidic tundra","Dry",10,"2022","07","18","Mg_ug_mL",1.13,NA,"July","July-18-2022","acidic tundra-Dry"
"14","acidic tundra","Dry",10,"2022","07","18","Mn_ug_mL",0.04,NA,"July","July-18-2022","acidic tundra-Dry"
"15","acidic tundra","Dry",10,"2022","07","18","Na_ug_mL",0.37,NA,"July","July-18-2022","acidic tundra-Dry"
"16","acidic tundra","Dry",10,"2022","07","18","P_ug_mL",0.01,NA,"July","July-18-2022","acidic tundra-Dry"
"17","acidic tundra","Dry",10,"2022","07","25","Al_ug_mL",0.22,NA,"July","July-25-2022","acidic tundra-Dry"
