"","site","position","depth_cm","month","redox_avg_mV","redox_sd","year"
"1","non-acidic tundra","dry",5,"early fall",699.76,80.2,2021
"2","non-acidic tundra","dry",5,"early summer",569.64,46.89,2021
"3","non-acidic tundra","dry",5,"late summer",655.29,59.2,2021
"4","non-acidic tundra","dry",5,"mid summer",600.74,64.28,2021
"5","non-acidic tundra","dry",10,"early fall",730.94,19.76,2021
"6","non-acidic tundra","dry",10,"early summer",570.7,33.56,2021
"7","non-acidic tundra","dry",10,"late summer",675.32,52.74,2021
"8","non-acidic tundra","dry",10,"mid summer",626.52,42.65,2021
"9","non-acidic tundra","dry",20,"early fall",7.7,145.56,2021
"10","non-acidic tundra","dry",20,"late summer",153.66,288.5,2021
"11","non-acidic tundra","dry",20,"mid summer",391.32,275.66,2021
"12","non-acidic tundra","dry",30,"early fall",188.28,14.18,2021
"13","non-acidic tundra","dry",30,"early summer",-248.07,1.19,2021
"14","non-acidic tundra","dry",30,"late summer",155.47,138.79,2021
"15","non-acidic tundra","dry",30,"mid summer",154.89,155.48,2021
"16","non-acidic tundra","mesic",5,"early summer",667.23,24.72,2021
"17","non-acidic tundra","mesic",5,"late summer",647.22,132.11,2021
"18","non-acidic tundra","mesic",5,"mid summer",707.05,23.26,2021
"19","non-acidic tundra","mesic",10,"early fall",-214.15,25.23,2021
"20","non-acidic tundra","mesic",10,"early summer",644.17,55.15,2021
"21","non-acidic tundra","mesic",10,"late summer",666.86,85.29,2021
"22","non-acidic tundra","mesic",10,"mid summer",655.85,51.1,2021
"23","non-acidic tundra","mesic",20,"early summer",455.83,94.02,2021
"24","non-acidic tundra","mesic",20,"late summer",269.04,393.08,2021
"25","non-acidic tundra","mesic",20,"mid summer",373.32,306.83,2021
"26","non-acidic tundra","mesic",30,"early summer",-72.33,111.28,2021
"27","non-acidic tundra","mesic",30,"late summer",-48.27,28.67,2021
"28","non-acidic tundra","mesic",30,"mid summer",34.17,166.16,2021
"29","non-acidic tundra","hydric",5,"early fall",504.91,56.39,2021
"30","non-acidic tundra","hydric",5,"early summer",626.18,48.34,2021
"31","non-acidic tundra","hydric",5,"late summer",537.49,49.25,2021
"32","non-acidic tundra","hydric",5,"mid summer",568.09,72.16,2021
"33","non-acidic tundra","hydric",7,"early fall",577.56,22.69,2021
"34","non-acidic tundra","hydric",7,"early summer",581.67,102.98,2021
"35","non-acidic tundra","hydric",7,"late summer",591.37,32.57,2021
"36","non-acidic tundra","hydric",7,"mid summer",598.6,33.33,2021
"37","non-acidic tundra","hydric",9,"early fall",567.07,47.38,2021
"38","non-acidic tundra","hydric",9,"early summer",545.9,177.15,2021
"39","non-acidic tundra","hydric",9,"late summer",480.14,215.3,2021
"40","non-acidic tundra","hydric",9,"mid summer",457.3,249.56,2021
"41","non-acidic tundra","hydric",11,"early fall",456.82,213.01,2021
"42","non-acidic tundra","hydric",11,"early summer",504.14,176.04,2021
"43","non-acidic tundra","hydric",11,"late summer",359.67,319.71,2021
"44","non-acidic tundra","hydric",11,"mid summer",370.79,354.92,2021
"45","non-acidic tundra","hydric",13,"early fall",441.48,272.46,2021
"46","non-acidic tundra","hydric",13,"early summer",505.46,180.29,2021
"47","non-acidic tundra","hydric",13,"late summer",342.22,372.13,2021
"48","non-acidic tundra","hydric",13,"mid summer",349.78,348.39,2021
"49","non-acidic tundra","hydric",23,"early fall",-126.96,101.63,2021
"50","non-acidic tundra","hydric",23,"early summer",218.04,81.43,2021
"51","non-acidic tundra","hydric",23,"late summer",-156.4,31.36,2021
"52","non-acidic tundra","hydric",23,"mid summer",-93.89,94.2,2021
"53","non-acidic tundra","hydric",33,"early fall",-117.54,106.19,2021
"54","non-acidic tundra","hydric",33,"early summer",259.12,74.42,2021
"55","non-acidic tundra","hydric",33,"late summer",-142.51,49.03,2021
"56","non-acidic tundra","hydric",33,"mid summer",13.65,151.06,2021
"57","non-acidic tundra","hydric",53,"early fall",-26.52,141.46,2021
