"","Day","Month_num","Year","Area","Site","Plot","Plot_ID","rep","thaw_depth_cm","Month","date2"
"1","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X1",10,"06",2022-06-20
"2","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X2",34,"06",2022-06-20
"3","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X3",16,"06",2022-06-20
"4","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X4",12,"06",2022-06-20
"5","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X5",15,"06",2022-06-20
"6","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X6",35,"06",2022-06-20
"7","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X7",13,"06",2022-06-20
"8","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X8",11,"06",2022-06-20
"9","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X9",29,"06",2022-06-20
"10","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X10",14,"06",2022-06-20
"11","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X11",27,"06",2022-06-20
"12","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X12",38,"06",2022-06-20
"13","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X13",22,"06",2022-06-20
"14","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X14",16,"06",2022-06-20
"15","20","Jun","2022","acidic tundra","Dry",1,"E-D1","X15",19,"06",2022-06-20
"16","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X1",22,"06",2022-06-20
"17","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X2",11,"06",2022-06-20
"18","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X3",30,"06",2022-06-20
"19","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X4",22,"06",2022-06-20
"20","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X5",9,"06",2022-06-20
"21","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X6",18,"06",2022-06-20
"22","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X7",23,"06",2022-06-20
"23","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X8",11,"06",2022-06-20
"24","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X9",27,"06",2022-06-20
"25","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X10",9,"06",2022-06-20
"26","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X11",25,"06",2022-06-20
"27","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X12",11,"06",2022-06-20
"28","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X13",23,"06",2022-06-20
"29","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X14",8,"06",2022-06-20
"30","20","Jun","2022","acidic tundra","Dry",2,"E-D2","X15",10,"06",2022-06-20
"31","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X1",28,"06",2022-06-20
"32","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X2",28,"06",2022-06-20
"33","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X3",21,"06",2022-06-20
"34","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X4",25,"06",2022-06-20
"35","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X5",20,"06",2022-06-20
"36","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X6",35,"06",2022-06-20
"37","20","Jun","2022","acidic tundra","Dry",3,"E-D3","X7",33,"06",2022-06-20
