SampleID,Date,Time,Area,Site,Plot,Plot_ID,Subsamples_collected,Depth_cm,Solution_pH,Solution_SC,Solution_temp,Filter Type,Comments,
PhIr2022-1,27-Jun-2022,14:46,East,Dry,1,E-D1,A-C,10,6.77,,--,PES,temperature and SC not recorded,
PhIr2022-2,27-Jun-2022,15:46,East,Mesic,2,E-M2,A-D,10,5.5,,--,PES,temperature and SC not recorded,
PhIr2022-3,27-Jun-2022,16:20,East,Mesic,3,E-M3,A-D,10,5.56,,--,PES,temperature and SC not recorded,
PhIr2022-4,27-Jun-2022,16:52,East,Hydric,3,E-H3,A-D,10,5.44,,--,PES,temperature and SC not recorded,
PhIr2022-5,27-Jun-2022,16:55,East,Hydric,2,E-H2,A-D,10,5.62,,--,PES,temperature and SC not recorded,
PhIr2022-6,27-Jun-2022,17:20,East,Hydric,1,E-H1,A-D,10,5.13,,--,PES,temperature and SC not recorded,
PhIr2022-7,29-Jun-2022,12:27,West,Dry,1,W-D1,A-D,0,7.65,,,PES,temperature and SC not recorded,
PhIr2022-8,29-Jun-2022,14:50,West,Mesic,2,W-M2,A-D,0,6.85,270,11.2,PES,SC and pH recorded in lab,
PhIr2022-9,29-Jun-2022,13:43,West,Mesic,2,W-M2,A-D,10,7.1,38,15.5,PES,SC and pH recorded in lab,
PhIr2022-10,29-Jun-2022,13:10,West,Mesic,3,W-M3,A-D,0,6.84,112,10.4,PES,SC and pH recorded in lab,
PhIr2022-11,29-Jun-2022,13:50,West,Mesic,3,W-M3,A-D,10,7.43,33,16.1,PES,SC and pH recorded in lab,
PhIr2022-12,29-Jun-2022,14:04,West,Mesic,3,W-M3,A-D,20,6.92,30,17.1,PES,SC and pH recorded in lab,
PhIr2022-13,29-Jun-2022,13:25,West,Hydric,1,W-H1,A-D,0,7.62,145,21.3,PES,SC and pH recorded in lab,
PhIr2022-14,29-Jun-2022,15:07,West,Hydric,1,W-H1,A-D,10,7.69,175,16.7,PES,SC and pH recorded in lab,
PhIr2022-15,29-Jun-2022,15:15,West,Hydric,1,W-H1,A-D,20,7.86,159,15.5,PES,SC and pH recorded in lab,
PhIr2022-16,29-Jun-2022,15:00,West,Hydric,2,W-H2,A-D,0,7.4,50,15.4,PES,SC and pH recorded in lab,
PhIr2022-17,29-Jun-2022,15:21,West,Hydric,2,W-H2,A-D,10,7.69,84,17.5,PES,SC and pH recorded in lab,
PhIr2022-18,29-Jun-2022,15:29,West,Hydric,2,W-H2,A-D,20,7.55,70,14.8,PES,SC and pH recorded in lab,
PhIr2022-19,29-Jun-2022,14:40,West,Hydric,3,W-H3,A-D,0,7.67,163,23,PES,SC and pH recorded in lab,
PhIr2022-20,29-Jun-2022,15:37,West,Hydric,3,W-H3,A-D,10,7.63,204,16.7,PES,SC and pH recorded in lab,
PhIr2022-21,29-Jun-2022,15:42,West,Hydric,3,W-H3,A-D,20,7.16,216,15.4,PES,SC and pH recorded in lab,
PhIr2022-22,6-Jul-2022,11:55,East,Hydric,1,E-H1,A-D,20,5.44,39,14.7,PES,SC recorded in lab,
PhIr2022-23,6-Jul-2022,11:15,East,Hydric,2,E-H2,A-D,10,5.86,36,19.1,PES,SC recorded in lab,
PhIr2022-24,6-Jul-2022,11:40,East,Hydric,3,E-H3,A-D,10,6.05,179,16.7,PES,SC recorded in lab,
PhIr2022-25,6-Jul-2022,,East,Blank,,,A-D,,,,,PES,SC recorded in lab,
PhIr2022-26,7-Jul-2022,11:49,West,Mesic,1,W-M1,A-D,20,6.45,87,18.3,PES,SC recorded in lab,
PhIr2022-27,7-Jul-2022,11:03,West,Mesic,2,W-M2,A-D,0,6.88,45,14.2,PES,SC recorded in lab,
PhIr2022-28,7-Jul-2022,12:05,West,Mesic,2,W-M2,A-D,20,6.04,,21.2,PES,SC recorded in lab,
PhIr2022-29,7-Jul-2022,11:29,West,Mesic,3,W-M3,A-D,0,6.79,40,14.7,PES,SC recorded in lab,
PhIr2022-30,7-Jul-2022,12:20,West,Mesic,3,W-M3,A-D,10,6.54,83,17.3,PES,SC recorded in lab,
PhIr2022-31,7-Jul-2022,12:32,West,Mesic,3,W-M3,A-D,20,6.02,,13.8,PES,SC recorded in lab,
PhIr2022-32,7-Jul-2022,13:13,West,Hydric,1,W-H1,A-D,0,7.25,,23.7,PES,SC recorded in lab,
PhIr2022-33,7-Jul-2022,13:47,West,Hydric,1,W-H1,A-D,10,6.78,178,18.7,PES,SC recorded in lab,
PhIr2022-34,7-Jul-2022,13:56,West,Hydric,1,W-H1,A-D,20,6.86,,16.5,PES,SC recorded in lab,
PhIr2022-35,7-Jul-2022,13:26,West,Hydric,2,W-H2,A-D,0,6.9,,21,PES,SC recorded in lab,
PhIr2022-36,7-Jul-2022,14:00,West,Hydric,2,W-H2,A-D,10,6.88,,18.6,PES,SC recorded in lab,
PhIr2022-37,7-Jul-2022,14:15,West,Hydric,2,W-H2,A-D,20,6.68,87,16.2,PES,SC recorded in lab,
PhIr2022-38,7-Jul-2022,13:36,West,Hydric,3,W-H3,A-D,0,6.87,,19,PES,SC recorded in lab,
PhIr2022-39,7-Jul-2022,14:25,West,Hydric,3,W-H3,A-D,10,6.68,209,17.6,PES,SC recorded in lab,
PhIr2022-40,7-Jul-2022,,West,Hydric,3,W-H3,A-D,20,6.55,,14.2,PES,SC recorded in lab,
PhIr2022-41,11-Jul-2022,12:38,East,Hydric,1,E-H1,A-D,10,5.5,26,13.4,PES,SC recorded in lab,
PhIr2022-42,11-Jul-2022,12:30,East,Hydric,1,E-H1,A-D,20,5.7,22,12.2,PES,SC recorded in lab,
PhIr2022-43,11-Jul-2022,12:17,East,Hydric,2,E-H2,A-D,10,5.72,31,14.2,PES,SC recorded in lab,
PhIr2022-44,11-Jul-2022,12:12,East,Hydric,3,E-H3,A-D,10,6.36,102,14.7,PES,SC recorded in lab,
PhIr2022-45,12-Jul-2022,11:07,West,Dry,2,W-D2,A-D,20,6.99,51,9.2,PES,SC recorded in lab,
PhIr2022-46,12-Jul-2022,13:00,West,Mesic,1,W-M1,A-D,20,6.7,87,7.8,PES,SC recorded in lab,
PhIr2022-47,12-Jul-2022,12:17,West,Mesic,2,W-M2,A-D,0,6.77,40,6.5,PES,SC recorded in lab,
PhIr2022-48,12-Jul-2022,12:41,West,Mesic,2,W-M2,A-D,10,6.83,41,7.5,PES,SC recorded in lab,
PhIr2022-49,12-Jul-2022,13:17,West,Mesic,2,W-M2,A-D,20,6.29,45,9.5,PES,SC recorded in lab,
PhIr2022-50,12-Jul-2022,12:28,West,Mesic,3,W-M3,A-D,0,7.1,54,6.8,PES,SC recorded in lab,
PhIr2022-51,12-Jul-2022,12:50,West,Mesic,3,W-M3,A-D,10,6.95,44,7,PES,SC recorded in lab,
PhIr2022-52,12-Jul-2022,13:10,West,Mesic,3,W-M3,A-D,20,6.33,50,6.8,PES,SC recorded in lab,
PhIr2022-53,12-Jul-2022,13:50,West,Hydric,1,W-H1,A-D,0,7.07,164,10.7,PES,SC recorded in lab,
PhIr2022-54,12-Jul-2022,14:14,West,Hydric,1,W-H1,A-D,10,6.94,197,10.2,PES,SC recorded in lab,
PhIr2022-55,12-Jul-2022,14:31,West,Hydric,1,W-H1,A-D,20,6.78,195,10.4,PES,SC recorded in lab,
PhIr2022-56,12-Jul-2022,13:57,West,Hydric,2,W-H2,A-D,0,6.89,63,9.4,PES,SC recorded in lab,
