"","TIMESTAMP","RECORD","site","position","Betterdate","redox_NUM_Avg","redox_NUM_Std"
"1","6/24/2022 11:31",7019,"east","dry",2022-06-24 11:31:00,1,1
"2","6/24/2022 11:46",7020,"east","dry",2022-06-24 11:46:00,2,2
"3","6/24/2022 12:01",7021,"east","dry",2022-06-24 12:01:00,3,3
"4","6/24/2022 12:16",7022,"east","dry",2022-06-24 12:16:00,4,4
"5","6/24/2022 12:31",7023,"east","dry",2022-06-24 12:31:00,5,5
"6","6/24/2022 12:46",7024,"east","dry",2022-06-24 12:46:00,6,6
"7","6/24/2022 13:01",7025,"east","dry",2022-06-24 13:01:00,7,7
"8","6/24/2022 13:16",7026,"east","dry",2022-06-24 13:16:00,8,8
"9","6/24/2022 13:31",7027,"east","dry",2022-06-24 13:31:00,9,9
"10","6/24/2022 13:46",7028,"east","dry",2022-06-24 13:46:00,10,10
"11","6/24/2022 14:01",7029,"east","dry",2022-06-24 14:01:00,11,11
"12","6/24/2022 14:16",7030,"east","dry",2022-06-24 14:16:00,12,12
"13","6/24/2022 14:31",7031,"east","dry",2022-06-24 14:31:00,13,13
"14","6/24/2022 14:46",7032,"east","dry",2022-06-24 14:46:00,14,14
"15","6/24/2022 15:01",7033,"east","dry",2022-06-24 15:01:00,15,15
"16","6/24/2022 15:16",7034,"east","dry",2022-06-24 15:16:00,16,16
"17","6/24/2022 15:31",7035,"east","dry",2022-06-24 15:31:00,17,17
"18","6/24/2022 15:46",7036,"east","dry",2022-06-24 15:46:00,18,18
"19","6/24/2022 16:01",7037,"east","dry",2022-06-24 16:01:00,19,19
"20","6/24/2022 16:16",7038,"east","dry",2022-06-24 16:16:00,20,20
"21","6/24/2022 16:31",7039,"east","dry",2022-06-24 16:31:00,21,21
"22","6/24/2022 16:46",7040,"east","dry",2022-06-24 16:46:00,22,22
"23","6/24/2022 17:01",7041,"east","dry",2022-06-24 17:01:00,23,23
"24","6/24/2022 17:16",7042,"east","dry",2022-06-24 17:16:00,24,24
"25","6/24/2022 17:31",7043,"east","dry",2022-06-24 17:31:00,25,25
"26","6/24/2022 17:46",7044,"east","dry",2022-06-24 17:46:00,26,26
"27","6/24/2022 18:01",7045,"east","dry",2022-06-24 18:01:00,27,27
"28","6/24/2022 18:16",7046,"east","dry",2022-06-24 18:16:00,28,28
"29","6/24/2022 18:31",7047,"east","dry",2022-06-24 18:31:00,29,29
"30","6/24/2022 18:46",7048,"east","dry",2022-06-24 18:46:00,30,30
"31","6/24/2022 19:01",7049,"east","dry",2022-06-24 19:01:00,31,31
"32","6/24/2022 19:31",7050,"east","dry",2022-06-24 19:31:00,32,32
"33","6/24/2022 19:46",7051,"east","dry",2022-06-24 19:46:00,33,33
"34","6/24/2022 20:01",7052,"east","dry",2022-06-24 20:01:00,34,34
"35","6/24/2022 20:16",7053,"east","dry",2022-06-24 20:16:00,35,35
"36","6/24/2022 20:31",7054,"east","dry",2022-06-24 20:31:00,36,36
"37","6/24/2022 20:46",7055,"east","dry",2022-06-24 20:46:00,37,37
"38","6/24/2022 21:01",7056,"east","dry",2022-06-24 21:01:00,38,38
"39","6/24/2022 21:16",7057,"east","dry",2022-06-24 21:16:00,39,39
"40","6/24/2022 21:31",7058,"east","dry",2022-06-24 21:31:00,40,40
"41","6/24/2022 21:46",7059,"east","dry",2022-06-24 21:46:00,41,41
"42","6/24/2022 22:01",7060,"east","dry",2022-06-24 22:01:00,42,42
"43","6/24/2022 22:16",7061,"east","dry",2022-06-24 22:16:00,43,43
"44","6/24/2022 22:31",7062,"east","dry",2022-06-24 22:31:00,44,44
"45","6/24/2022 22:46",7063,"east","dry",2022-06-24 22:46:00,45,45
"46","6/24/2022 23:01",7064,"east","dry",2022-06-24 23:01:00,46,46
"47","6/24/2022 23:16",7065,"east","dry",2022-06-24 23:16:00,47,47
"48","6/24/2022 23:31",7066,"east","dry",2022-06-24 23:31:00,48,48
"49","6/24/2022 23:46",7067,"east","dry",2022-06-24 23:46:00,49,49
"50","6/25/2022 0:01",7068,"east","dry",2022-06-25 00:01:00,50,50
"51","6/25/2022 0:16",7069,"east","dry",2022-06-25 00:16:00,51,51
"52","6/25/2022 0:31",7070,"east","dry",2022-06-25 00:31:00,52,52
"53","6/25/2022 0:46",7071,"east","dry",2022-06-25 00:46:00,53,53
"54","6/25/2022 1:01",7072,"east","dry",2022-06-25 01:01:00,54,54
"55","6/25/2022 1:16",7073,"east","dry",2022-06-25 01:16:00,55,55
"56","6/25/2022 1:31",7074,"east","dry",2022-06-25 01:31:00,56,56
"57","6/25/2022 1:46",7075,"east","dry",2022-06-25 01:46:00,57,57
"58","6/25/2022 2:01",7076,"east","dry",2022-06-25 02:01:00,58,58
"59","6/25/2022 2:16",7077,"east","dry",2022-06-25 02:16:00,59,59
"60","6/25/2022 2:31",7078,"east","dry",2022-06-25 02:31:00,60,60
"61","6/25/2022 2:46",7079,"east","dry",2022-06-25 02:46:00,61,61
"62","6/25/2022 3:01",7080,"east","dry",2022-06-25 03:01:00,62,62
"63","6/25/2022 3:16",7081,"east","dry",2022-06-25 03:16:00,63,63
"64","6/25/2022 3:31",7082,"east","dry",2022-06-25 03:31:00,64,64
"65","6/25/2022 3:46",7083,"east","dry",2022-06-25 03:46:00,65,65
"66","6/25/2022 4:01",7084,"east","dry",2022-06-25 04:01:00,66,66
"67","6/25/2022 4:16",7085,"east","dry",2022-06-25 04:16:00,67,67
"68","6/25/2022 4:31",7086,"east","dry",2022-06-25 04:31:00,68,68
"69","6/25/2022 4:46",7087,"east","dry",2022-06-25 04:46:00,69,69
"70","6/25/2022 5:01",7088,"east","dry",2022-06-25 05:01:00,70,70
"71","6/25/2022 5:16",7089,"east","dry",2022-06-25 05:16:00,71,71
"72","6/25/2022 5:31",7090,"east","dry",2022-06-25 05:31:00,72,72
"73","6/25/2022 5:46",7091,"east","dry",2022-06-25 05:46:00,73,73
"74","6/25/2022 6:01",7092,"east","dry",2022-06-25 06:01:00,74,74
"75","6/25/2022 6:16",7093,"east","dry",2022-06-25 06:16:00,75,75
"76","6/25/2022 6:31",7094,"east","dry",2022-06-25 06:31:00,76,76
"77","6/25/2022 6:46",7095,"east","dry",2022-06-25 06:46:00,77,77
"78","6/25/2022 7:01",7096,"east","dry",2022-06-25 07:01:00,78,78
"79","6/25/2022 7:16",7097,"east","dry",2022-06-25 07:16:00,79,79
"80","6/25/2022 7:31",7098,"east","dry",2022-06-25 07:31:00,80,80
"81","6/25/2022 7:46",7099,"east","dry",2022-06-25 07:46:00,81,81
"82","6/25/2022 8:01",7100,"east","dry",2022-06-25 08:01:00,82,82
"83","6/25/2022 8:16",7101,"east","dry",2022-06-25 08:16:00,83,83
"84","6/25/2022 8:31",7102,"east","dry",2022-06-25 08:31:00,84,84
"85","6/25/2022 8:46",7103,"east","dry",2022-06-25 08:46:00,85,85
"86","6/25/2022 9:01",7104,"east","dry",2022-06-25 09:01:00,86,86
"87","6/25/2022 9:16",7105,"east","dry",2022-06-25 09:16:00,87,87
"88","6/25/2022 9:31",7106,"east","dry",2022-06-25 09:31:00,88,88
"89","6/25/2022 9:46",7107,"east","dry",2022-06-25 09:46:00,89,89
"90","6/25/2022 10:01",7108,"east","dry",2022-06-25 10:01:00,90,90
"91","6/25/2022 10:16",7109,"east","dry",2022-06-25 10:16:00,91,91
"92","6/25/2022 10:31",7110,"east","dry",2022-06-25 10:31:00,92,92
