"","TIMESTAMP","RECORD","site","position","Betterdate","redox_NUM_Avg","redox_NUM_Std"
"1","6/30/2021 14:01",0,"east","hydric",2021-06-30 14:01:00,1,1
"2","6/30/2021 14:16",1,"east","hydric",2021-06-30 14:16:00,2,2
"3","6/30/2021 14:31",2,"east","hydric",2021-06-30 14:31:00,3,3
"4","6/30/2021 14:46",3,"east","hydric",2021-06-30 14:46:00,4,4
"5","6/30/2021 15:01",4,"east","hydric",2021-06-30 15:01:00,5,5
"6","6/30/2021 15:16",5,"east","hydric",2021-06-30 15:16:00,6,6
"7","6/30/2021 15:31",6,"east","hydric",2021-06-30 15:31:00,7,7
"8","6/30/2021 15:46",7,"east","hydric",2021-06-30 15:46:00,8,8
"9","6/30/2021 16:01",8,"east","hydric",2021-06-30 16:01:00,9,9
"10","6/30/2021 16:16",9,"east","hydric",2021-06-30 16:16:00,10,10
"11","6/30/2021 16:31",10,"east","hydric",2021-06-30 16:31:00,11,11
"12","6/30/2021 16:46",11,"east","hydric",2021-06-30 16:46:00,12,12
"13","6/30/2021 17:01",12,"east","hydric",2021-06-30 17:01:00,13,13
"14","6/30/2021 17:16",13,"east","hydric",2021-06-30 17:16:00,14,14
"15","6/30/2021 17:31",14,"east","hydric",2021-06-30 17:31:00,15,15
"16","6/30/2021 17:46",15,"east","hydric",2021-06-30 17:46:00,16,16
"17","6/30/2021 18:01",16,"east","hydric",2021-06-30 18:01:00,17,17
"18","6/30/2021 18:16",17,"east","hydric",2021-06-30 18:16:00,18,18
"19","6/30/2021 18:31",18,"east","hydric",2021-06-30 18:31:00,19,19
"20","6/30/2021 18:46",19,"east","hydric",2021-06-30 18:46:00,20,20
"21","6/30/2021 19:01",20,"east","hydric",2021-06-30 19:01:00,21,21
"22","6/30/2021 19:16",21,"east","hydric",2021-06-30 19:16:00,22,22
"23","6/30/2021 19:31",22,"east","hydric",2021-06-30 19:31:00,23,23
"24","6/30/2021 19:46",23,"east","hydric",2021-06-30 19:46:00,24,24
"25","6/30/2021 20:01",24,"east","hydric",2021-06-30 20:01:00,25,25
"26","6/30/2021 14:01",25,"east","hydric",2021-06-30 14:01:00,26,26
"27","6/30/2021 14:16",26,"east","hydric",2021-06-30 14:16:00,27,27
"28","6/30/2021 14:31",27,"east","hydric",2021-06-30 14:31:00,28,28
"29","6/30/2021 14:46",28,"east","hydric",2021-06-30 14:46:00,29,29
"30","6/30/2021 15:01",29,"east","hydric",2021-06-30 15:01:00,30,30
"31","6/30/2021 15:16",30,"east","hydric",2021-06-30 15:16:00,31,31
"32","6/30/2021 15:31",31,"east","hydric",2021-06-30 15:31:00,32,32
"33","6/30/2021 15:46",32,"east","hydric",2021-06-30 15:46:00,33,33
"34","6/30/2021 16:01",33,"east","hydric",2021-06-30 16:01:00,34,34
"35","6/30/2021 16:16",34,"east","hydric",2021-06-30 16:16:00,35,35
"36","6/30/2021 16:31",35,"east","hydric",2021-06-30 16:31:00,36,36
"37","6/30/2021 16:46",36,"east","hydric",2021-06-30 16:46:00,37,37
"38","6/30/2021 17:01",37,"east","hydric",2021-06-30 17:01:00,38,38
"39","6/30/2021 17:16",38,"east","hydric",2021-06-30 17:16:00,39,39
"40","6/30/2021 17:31",39,"east","hydric",2021-06-30 17:31:00,40,40
"41","6/30/2021 17:46",40,"east","hydric",2021-06-30 17:46:00,41,41
"42","6/30/2021 18:01",41,"east","hydric",2021-06-30 18:01:00,42,42
"43","6/30/2021 18:16",42,"east","hydric",2021-06-30 18:16:00,43,43
"44","6/30/2021 18:31",43,"east","hydric",2021-06-30 18:31:00,44,44
"45","6/30/2021 18:46",44,"east","hydric",2021-06-30 18:46:00,45,45
"46","6/30/2021 19:01",45,"east","hydric",2021-06-30 19:01:00,46,46
"47","6/30/2021 19:16",46,"east","hydric",2021-06-30 19:16:00,47,47
"48","6/30/2021 19:31",47,"east","hydric",2021-06-30 19:31:00,48,48
"49","6/30/2021 19:46",48,"east","hydric",2021-06-30 19:46:00,49,49
"50","6/30/2021 20:01",49,"east","hydric",2021-06-30 20:01:00,50,50
"51","6/30/2021 20:16",50,"east","hydric",2021-06-30 20:16:00,51,51
"52","6/30/2021 20:31",51,"east","hydric",2021-06-30 20:31:00,52,52
"53","6/30/2021 20:46",52,"east","hydric",2021-06-30 20:46:00,53,53
"54","6/30/2021 21:01",53,"east","hydric",2021-06-30 21:01:00,54,54
"55","6/30/2021 21:16",54,"east","hydric",2021-06-30 21:16:00,55,55
"56","6/30/2021 21:31",55,"east","hydric",2021-06-30 21:31:00,56,56
"57","6/30/2021 21:46",56,"east","hydric",2021-06-30 21:46:00,57,57
"58","6/30/2021 22:01",57,"east","hydric",2021-06-30 22:01:00,58,58
"59","6/30/2021 22:16",58,"east","hydric",2021-06-30 22:16:00,59,59
"60","6/30/2021 22:31",59,"east","hydric",2021-06-30 22:31:00,60,60
"61","6/30/2021 22:46",60,"east","hydric",2021-06-30 22:46:00,61,61
"62","6/30/2021 23:01",61,"east","hydric",2021-06-30 23:01:00,62,62
"63","6/30/2021 23:16",62,"east","hydric",2021-06-30 23:16:00,63,63
"64","6/30/2021 23:31",63,"east","hydric",2021-06-30 23:31:00,64,64
"65","6/30/2021 23:46",64,"east","hydric",2021-06-30 23:46:00,65,65
"66","7/1/2021 0:01",65,"east","hydric",2021-07-01 00:01:00,66,66
"67","7/1/2021 0:16",66,"east","hydric",2021-07-01 00:16:00,67,67
"68","7/1/2021 0:31",67,"east","hydric",2021-07-01 00:31:00,68,68
"69","7/1/2021 0:46",68,"east","hydric",2021-07-01 00:46:00,69,69
"70","7/1/2021 1:01",69,"east","hydric",2021-07-01 01:01:00,70,70
"71","7/1/2021 1:16",70,"east","hydric",2021-07-01 01:16:00,71,71
"72","7/1/2021 1:31",71,"east","hydric",2021-07-01 01:31:00,72,72
"73","7/1/2021 1:46",72,"east","hydric",2021-07-01 01:46:00,73,73
"74","7/1/2021 2:01",73,"east","hydric",2021-07-01 02:01:00,74,74
"75","7/1/2021 2:16",74,"east","hydric",2021-07-01 02:16:00,75,75
"76","7/1/2021 2:31",75,"east","hydric",2021-07-01 02:31:00,76,76
"77","7/1/2021 2:46",76,"east","hydric",2021-07-01 02:46:00,77,77
"78","7/1/2021 3:01",77,"east","hydric",2021-07-01 03:01:00,78,78
"79","7/1/2021 3:16",78,"east","hydric",2021-07-01 03:16:00,79,79
"80","7/1/2021 3:31",79,"east","hydric",2021-07-01 03:31:00,80,80
"81","7/1/2021 3:46",80,"east","hydric",2021-07-01 03:46:00,81,81
"82","7/1/2021 4:01",81,"east","hydric",2021-07-01 04:01:00,82,82
"83","7/1/2021 4:16",82,"east","hydric",2021-07-01 04:16:00,83,83
"84","7/1/2021 4:31",83,"east","hydric",2021-07-01 04:31:00,84,84
"85","7/1/2021 4:46",84,"east","hydric",2021-07-01 04:46:00,85,85
"86","7/1/2021 5:01",85,"east","hydric",2021-07-01 05:01:00,86,86
"87","7/1/2021 5:16",86,"east","hydric",2021-07-01 05:16:00,87,87
"88","7/1/2021 5:31",87,"east","hydric",2021-07-01 05:31:00,88,88
"89","7/1/2021 5:46",88,"east","hydric",2021-07-01 05:46:00,89,89
"90","7/1/2021 6:01",89,"east","hydric",2021-07-01 06:01:00,90,90
"91","7/1/2021 6:16",90,"east","hydric",2021-07-01 06:16:00,91,91
"92","7/1/2021 6:31",91,"east","hydric",2021-07-01 06:31:00,92,92
"93","7/1/2021 6:46",92,"east","hydric",2021-07-01 06:46:00,93,93
"94","7/1/2021 7:01",93,"east","hydric",2021-07-01 07:01:00,94,94
"95","7/1/2021 7:16",94,"east","hydric",2021-07-01 07:16:00,95,95
"96","7/1/2021 7:31",95,"east","hydric",2021-07-01 07:31:00,96,96
"97","7/1/2021 7:46",96,"east","hydric",2021-07-01 07:46:00,97,97
"98","7/1/2021 8:01",97,"east","hydric",2021-07-01 08:01:00,98,98
"99","7/1/2021 8:16",98,"east","hydric",2021-07-01 08:16:00,99,99
"100","7/1/2021 8:31",99,"east","hydric",2021-07-01 08:31:00,100,100
"101","7/1/2021 8:46",100,"east","hydric",2021-07-01 08:46:00,101,101
"102","7/1/2021 9:01",101,"east","hydric",2021-07-01 09:01:00,102,102
"103","7/1/2021 9:16",102,"east","hydric",2021-07-01 09:16:00,103,103
"104","7/1/2021 9:31",103,"east","hydric",2021-07-01 09:31:00,104,104
"105","7/1/2021 9:46",104,"east","hydric",2021-07-01 09:46:00,105,105
"106","7/1/2021 10:01",105,"east","hydric",2021-07-01 10:01:00,106,106
"107","7/1/2021 10:16",106,"east","hydric",2021-07-01 10:16:00,107,107
"108","7/1/2021 10:31",107,"east","hydric",2021-07-01 10:31:00,108,108
"109","7/1/2021 10:46",108,"east","hydric",2021-07-01 10:46:00,109,109
"110","7/1/2021 11:01",109,"east","hydric",2021-07-01 11:01:00,110,110
"111","7/1/2021 11:16",110,"east","hydric",2021-07-01 11:16:00,111,111
"112","7/1/2021 11:31",111,"east","hydric",2021-07-01 11:31:00,112,112
"113","7/1/2021 11:46",112,"east","hydric",2021-07-01 11:46:00,113,113
