"","rep","site","area","date","ICP","concentration","concentration_undo_dilution"
"1","1","dry","west",2022-06-29,"Al_ug_ml",0.01,0.1
"2","1","dry","west",2022-06-29,"Ca_ug_ml",1.01,10.1
"3","1","dry","west",2022-06-29,"Fe_ug_ml",0.13,1.3
"4","1","dry","west",2022-06-29,"K_ug_ml",0.04,0.4
"5","1","dry","west",2022-06-29,"Mg_ug_ml",0.16,1.6
"6","1","dry","west",2022-06-29,"Mn_ug_ml",0.0025,0.025
"7","1","dry","west",2022-06-29,"Na_ug_ml",0.005,0.05
"8","1","dry","west",2022-06-29,"P_ug_ml",0.005,0.05
"9","2","dry","west",2022-06-29,"Al_ug_ml",0.01,0.1
"10","2","dry","west",2022-06-29,"Ca_ug_ml",0.83,8.3
"11","2","dry","west",2022-06-29,"Fe_ug_ml",0.13,1.3
"12","2","dry","west",2022-06-29,"K_ug_ml",0.02,0.2
"13","2","dry","west",2022-06-29,"Mg_ug_ml",0.11,1.1
"14","2","dry","west",2022-06-29,"Mn_ug_ml",0.0025,0.025
"15","2","dry","west",2022-06-29,"Na_ug_ml",0.005,0.05
"16","2","dry","west",2022-06-29,"P_ug_ml",0.005,0.05
"17","3","dry","west",2022-06-29,"Al_ug_ml",0.01,0.1
"18","3","dry","west",2022-06-29,"Ca_ug_ml",0.7,7
"19","3","dry","west",2022-06-29,"Fe_ug_ml",0.37,3.7
"20","3","dry","west",2022-06-29,"K_ug_ml",0.02,0.2
"21","3","dry","west",2022-06-29,"Mg_ug_ml",0.09,0.9
"22","3","dry","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"23","3","dry","west",2022-06-29,"Na_ug_ml",0.01,0.1
"24","3","dry","west",2022-06-29,"P_ug_ml",0.005,0.05
"25","1","mesic","west",2022-06-29,"Al_ug_ml",0.005,0.05
"26","1","mesic","west",2022-06-29,"Ca_ug_ml",0.92,9.2
"27","1","mesic","west",2022-06-29,"Fe_ug_ml",0.31,3.1
"28","1","mesic","west",2022-06-29,"K_ug_ml",0.02,0.2
"29","1","mesic","west",2022-06-29,"Mg_ug_ml",0.12,1.2
"30","1","mesic","west",2022-06-29,"Mn_ug_ml",0.0025,0.025
"31","1","mesic","west",2022-06-29,"Na_ug_ml",0.01,0.1
"32","1","mesic","west",2022-06-29,"P_ug_ml",0.005,0.05
"33","2","mesic","west",2022-06-29,"Al_ug_ml",0.01,0.1
"34","2","mesic","west",2022-06-29,"Ca_ug_ml",0.64,6.4
"35","2","mesic","west",2022-06-29,"Fe_ug_ml",0.36,3.6
"36","2","mesic","west",2022-06-29,"K_ug_ml",0.03,0.3
"37","2","mesic","west",2022-06-29,"Mg_ug_ml",0.09,0.9
"38","2","mesic","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"39","2","mesic","west",2022-06-29,"Na_ug_ml",0.01,0.1
"40","2","mesic","west",2022-06-29,"P_ug_ml",0.005,0.05
"41","3","mesic","west",2022-06-29,"Al_ug_ml",0.01,0.1
"42","3","mesic","west",2022-06-29,"Ca_ug_ml",0.66,6.6
"43","3","mesic","west",2022-06-29,"Fe_ug_ml",0.3,3
"44","3","mesic","west",2022-06-29,"K_ug_ml",0.03,0.3
"45","3","mesic","west",2022-06-29,"Mg_ug_ml",0.11,1.1
"46","3","mesic","west",2022-06-29,"Mn_ug_ml",0.0025,0.025
"47","3","mesic","west",2022-06-29,"Na_ug_ml",0.01,0.1
"48","3","mesic","west",2022-06-29,"P_ug_ml",0.005,0.05
"49","1","hydric","west",2022-06-29,"Al_ug_ml",0.005,0.05
"50","1","hydric","west",2022-06-29,"Ca_ug_ml",3.59,35.9
"51","1","hydric","west",2022-06-29,"Fe_ug_ml",0.49,4.9
