,Core_ID,Average_Depth_cm,Plot_ID,Horizon,real_depth_cm,anychange
1,20210706-E-D1,10.3,E-D1,O1,NA,nochange
2,20210706-E-D1,5.1,E-D1,O2,15.4,change
3,20210706-E-D2,5.9,E-D2,O,NA,nochange
4,20210706-E-D2,12,E-D2,M,17.9,change
5,20210706-E-D3,8.5,E-D3,O,NA,nochange
6,20210706-E-D3,10.6,E-D3,M,19.1,change
7,20210706-E-M1,13.1,E-M1,O1,NA,nochange
8,20210706-E-M1,8.4,E-M1,O2,21.5,change
9,20210706-E-M2,4.3,E-M2,O,NA,nochange
10,20210706-E-M2,12.9,E-M2,M,17.2,change
11,20210706-E-M3,9.9,E-M3,O,NA,nochange
12,20210706-E-H1,10.1,E-H1,O1,NA,nochange
13,20210706-E-H1,6.1,E-H1,O2,16.2,change
14,20210706-E-H2,10.5,E-H2,O1,NA,nochange
15,20210706-E-H2,8.3,E-H2,O2,18.8,change
17,20210707-W-D1,17.6,W-D1,O,NA,nochange
18,20210707-W-D2,11.1,W-D2,O,NA,nochange
19,20210707-W-D3,11.1,W-D3,O1,NA,nochange
20,20210707-W-D3,5.4,W-D3,O2,16.5,change
21,20210707-W-M1,10.8,W-M1,O,NA,nochange
22,20210707-W-M2,6.6,W-M2,O1,NA,nochange
23,20210707-W-M2,6.3,W-M2,O2,12.9,change
24,20210707-W-M3,6.4,W-M3,O1,NA,nochange
25,20210707-W-M3,9,W-M3,O2,15.4,change
26,20210707-W-H1,8.6,W-H1,O1,NA,nochange
27,20210707-W-H1,8.9,W-H1,O2,17.5,change
28,20210707-W-H2,9,W-H2,O1,NA,nochange
29,20210707-W-H2,5.3,W-H2,O2,14.3,change
30,20210707-W-H3,7.9,W-H3,O1,NA,nochange
31,20210707-W-H3,14.1,W-H3,O2,22,change
32,20210713-W-D1,9.8,W-D1,O1,NA,nochange
33,20210713-W-D1,10.9,W-D1,O2,20.7,change
34,20210713-W-D2,12.8,W-D2,O1,NA,nochange
35,20210713-W-D2,6.8,W-D2,O2,19.6,change
36,20210713-W-D3,11,W-D3,O1,NA,nochange
37,20210713-W-D3,10,W-D3,O2,21,change
38,20210713-W-M1,12.3,W-M1,O1,NA,nochange
39,20210713-W-M1,8.4,W-M1,O2,20.7,change
40,20210713-W-M2,6.3,W-M2,O1,NA,nochange
41,20210713-W-M2,5,W-M2,O2,11.3,change
42,20210713-W-M2,5.5,W-M2,M,10.5,change
43,20210713-W-H1,8.5,W-H1,O1,NA,nochange
44,20210713-W-H1,9,W-H1,O2,17.5,change
45,20210713-W-H2,9.4,W-H2,O1,NA,nochange
46,20210713-W-H3,10.1,W-H3,O1,NA,nochange
47,20210713-W-H3,9,W-H3,O2,19.1,change
48,20210714-E-D1,6.3,E-D1,O1,NA,nochange
49,20210714-E-D1,6.8,E-D1,O2,13.1,change
50,20210714-E-D2,9.4,E-D2,O1,NA,nochange
51,20210714-E-D2,4.6,E-D2,O2,14,change
52,20210714-E-D3,6.6,E-D3,O1,NA,nochange
53,20210714-E-D3,7,E-D3,O2,13.6,change
54,20210714-E-M1,9.6,E-M1,O1,NA,nochange
55,20210714-E-M1,2,E-M1,O2,11.6,change
56,20210714-E-M1,5.3,E-M1,M,7.3,change
57,20210714-E-M2,7.4,E-M2,O,NA,nochange
58,20210714-E-M2,9,E-M2,M,16.4,change
59,20210714-E-H1,9.3,E-H1,O1,NA,nochange
60,20210714-E-H1,5.6,E-H1,O2,14.9,change
61,20210714-E-H2,5.3,E-H2,O1,NA,nochange
62,20210714-E-H2,9.4,E-H2,O2,14.7,change
63,20210730-E-D3,7.9,E-D3,O,NA,nochange
64,20210730-E-D3,13.3,E-D3,M,21.2,change
65,20210731-W-D3,8.4,W-D3,O1,NA,nochange
66,20210731-W-D3,13.8,W-D3,O2,22.2,change
67,20210807-E-D2,7.5,E-D2,O,NA,nochange
68,20210807-E-D2,12.4,E-D2,M,19.9,change
69,20210807-E-D3,11.8,E-D3,O1,NA,nochange
70,20210807-E-D3,8.1,E-D3,O2,19.9,change
71,20210807-E-M1,3.6,E-M1,O,NA,nochange
72,20210807-E-M1,3.6,E-M1,M1,7.2,change
73,20210807-E-M1,8.6,E-M1,M2,12.2,change
74,20210807-E-M3,5.4,E-M3,O,NA,nochange
75,20210807-E-M3,11.1,E-M3,M,16.5,change
76,20210807-E-H1,5.4,E-H1,O1,NA,nochange
77,20210807-E-H1,7.8,E-H1,O2,13.2,change
78,20210807-E-H1,7.3,E-H1,M,15.1,change
79,20210807-W-M2,9.5,W-M2,O1,NA,nochange
80,20210807-W-M2,9.3,W-M2,O2,18.8,change
81,20210807-W-M2,3.3,W-M2,M,22.1,change
82,20210807-W-H1,8.6,W-H1,O1,NA,nochange
83,20210807-W-H2,11.1,W-H2,O1,NA,nochange
84,20210807-W-H2,8.9,W-H2,O2,20,change
