"","ID","Area","Site","Plot","Sample","date","Betterdate","ICP","concentration","month"
"1","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Al_ug/mL","0.487","june"
"2","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Ca_ug/mL","3.423","june"
"3","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Fe _ug/mL","10.99208294","june"
"4","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"K _ug/mL","1.057","june"
"5","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Mg_ug/mL","0.624","june"
"6","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Mn_ug/mL","0.241","june"
"7","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"Na_ug/mL","1.175","june"
"8","1","East","Transect","T1","Jun-22","6-22-2021",2021-06-22,"P_ug/mL","<0.1","june"
"9","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Al_ug/mL","0.359","june"
"10","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Ca_ug/mL","4.005","june"
"11","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Fe _ug/mL","25.84679404","june"
"12","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"K _ug/mL","0.538","june"
"13","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Mg_ug/mL","0.705","june"
"14","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Mn_ug/mL","0.423","june"
"15","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"Na_ug/mL","0.988","june"
"16","2","East","Transect","T2","Jun-22","6-22-2021",2021-06-22,"P_ug/mL","<0.1","june"
"17","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Al_ug/mL","0.307","june"
"18","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Ca_ug/mL","2.756","june"
"19","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Fe _ug/mL","8.280359654","june"
"20","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"K _ug/mL","0.42","june"
"21","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Mg_ug/mL","0.6","june"
"22","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Mn_ug/mL","0.173","june"
"23","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"Na_ug/mL","0.804","june"
"24","3","East","Transect","T13","Jun-22","6-22-2021",2021-06-22,"P_ug/mL","<0.1","june"
