"","Area","Site","month","Betterdate","ICP","mean","n","sd","combo"
"1","East","Dry","june","2021-06-24","aluminum",0.0995,2,5e-04,"East - Dry"
"2","East","Dry","june","2021-06-24","calcium",11.94156232,2,0.00156232000000056,"East - Dry"
"3","East","Dry","june","2021-06-24","iron",0.3885,2,0.0015,"East - Dry"
"4","East","Dry","june","2021-06-24","magnesium",1.77,2,0,"East - Dry"
"5","East","Dry","june","2021-06-24","manganese",0.03,2,0,"East - Dry"
"6","East","Dry","june","2021-06-24","phosphorus",0.05,2,0,"East - Dry"
"7","East","Dry","june","2021-06-24","potassium",0.4505,2,5e-04,"East - Dry"
"8","East","Dry","june","2021-06-24","sodium",0.869,2,0.001,"East - Dry"
"9","East","Dry","june","2021-06-28","aluminum",0.32025,4,0.0636531944733858,"East - Dry"
"10","East","Dry","june","2021-06-28","calcium",12.88730804,4,1.47513439635602,"East - Dry"
"11","East","Dry","june","2021-06-28","iron",21.569663135,4,0.514873707685836,"East - Dry"
"12","East","Dry","june","2021-06-28","magnesium",1.10075,4,0.0746250348966976,"East - Dry"
"13","East","Dry","june","2021-06-28","manganese",0.384,4,0.00294392028877595,"East - Dry"
"14","East","Dry","june","2021-06-28","phosphorus",0.07275,4,0.00330088372005639,"East - Dry"
"15","East","Dry","june","2021-06-28","potassium",0.80025,4,0.0411427899718367,"East - Dry"
"16","East","Dry","june","2021-06-28","sodium",1.172,4,0.0173589554217221,"East - Dry"
"17","East","Dry","july","2021-07-06","aluminum",0.36375,4,0.054997537823676,"East - Dry"
"18","East","Dry","july","2021-07-06","calcium",4.77425,4,0.528131355977532,"East - Dry"
"19","East","Dry","july","2021-07-06","iron",2.4435,4,0.684160617106831,"East - Dry"
"20","East","Dry","july","2021-07-06","magnesium",0.778,4,0.0118953772533703,"East - Dry"
"21","East","Dry","july","2021-07-06","manganese",0.105,4,0.0144337567297406,"East - Dry"
"22","East","Dry","july","2021-07-06","phosphorus",0.05,4,0,"East - Dry"
"23","East","Dry","july","2021-07-06","potassium",1.011,4,0.0860290648560125,"East - Dry"
"24","East","Dry","july","2021-07-06","sodium",0.899,4,0.00552268050859364,"East - Dry"
"25","East","Dry","july","2021-07-14","aluminum",0.446333333333333,6,0.0856826184888809,"East - Dry"
"26","East","Dry","july","2021-07-14","calcium",5.57266666666667,6,0.608616226460576,"East - Dry"
"27","East","Dry","july","2021-07-14","iron",2.11166666666667,6,0.626626399415509,"East - Dry"
"28","East","Dry","july","2021-07-14","magnesium",0.8445,6,0.0541096109762397,"East - Dry"
"29","East","Dry","july","2021-07-14","manganese",0.063,6,0.0208726296059377,"East - Dry"
"30","East","Dry","july","2021-07-14","phosphorus",0.05,6,0,"East - Dry"
"31","East","Dry","july","2021-07-14","potassium",0.637,6,0.0139188122098595,"East - Dry"
"32","East","Dry","july","2021-07-14","sodium",0.0971666666666667,6,0.0268879361631032,"East - Dry"
"33","East","Dry","july","2021-07-30","aluminum",0.499,4,0.0407083120095475,"East - Dry"
"34","East","Dry","july","2021-07-30","calcium",5.917,6,1.23482031081449,"East - Dry"
"35","East","Dry","july","2021-07-30","iron",0.5855,6,0.110008105761954,"East - Dry"
"36","East","Dry","july","2021-07-30","magnesium",0.837333333333333,6,0.149355653093919,"East - Dry"
"37","East","Dry","july","2021-07-30","manganese",0.03,6,0,"East - Dry"
"38","East","Dry","july","2021-07-30","phosphorus",0.05,6,0,"East - Dry"
"39","East","Dry","july","2021-07-30","potassium",0.853666666666667,6,0.161720472145957,"East - Dry"
"40","East","Dry","july","2021-07-30","sodium",0.0601666666666667,6,0.00643126046052491,"East - Dry"
"41","East","Dry","august","2021-08-07","aluminum",0.424,4,0.118936958091251,"East - Dry"
"42","East","Dry","august","2021-08-07","calcium",7.9735,4,1.7519696296835,"East - Dry"
"43","East","Dry","august","2021-08-07","iron",0.5185,4,0.150113568118719,"East - Dry"
"44","East","Dry","august","2021-08-07","magnesium",1.09975,4,0.132935056199133,"East - Dry"
"45","East","Dry","august","2021-08-07","manganese",0.03,4,0,"East - Dry"
"46","East","Dry","august","2021-08-07","phosphorus",0.05,4,0,"East - Dry"
"47","East","Dry","august","2021-08-07","potassium",0.66475,4,0.0270104146580536,"East - Dry"
"48","East","Dry","august","2021-08-07","sodium",1.4195,4,0.272511926344518,"East - Dry"
"49","East","Mesic","june","2021-06-24","aluminum",0.36125,4,0.0408562010797219,"East - Mesic"
"50","East","Mesic","june","2021-06-24","calcium",4.618,4,0.179271209809793,"East - Mesic"
"51","East","Mesic","june","2021-06-24","iron",25.3098115975,4,5.84172812978234,"East - Mesic"
"52","East","Mesic","june","2021-06-24","magnesium",1.0555,4,0.00956991814663707,"East - Mesic"
"53","East","Mesic","june","2021-06-24","manganese",0.7685,4,0.0583216654997666,"East - Mesic"
"54","East","Mesic","june","2021-06-24","phosphorus",0.05,4,0,"East - Mesic"
"55","East","Mesic","june","2021-06-24","potassium",1.55825,4,0.0694338714173421,"East - Mesic"
"56","East","Mesic","june","2021-06-24","sodium",1.1955,4,0.0441767284136493,"East - Mesic"
"57","East","Mesic","june","2021-06-28","aluminum",0.357,6,0.00212916258968951,"East - Mesic"
"58","East","Mesic","june","2021-06-28","calcium",5.352,6,0.429311308958895,"East - Mesic"
"59","East","Mesic","june","2021-06-28","iron",22.6043254983333,6,2.29379021288873,"East - Mesic"
"60","East","Mesic","june","2021-06-28","magnesium",1.04,6,0.14310392494035,"East - Mesic"
"61","East","Mesic","june","2021-06-28","manganese",0.683,6,0.125673120965994,"East - Mesic"
"62","East","Mesic","june","2021-06-28","phosphorus",0.0803333333333333,6,0.00434101882562659,"East - Mesic"
"63","East","Mesic","june","2021-06-28","potassium",1.669,6,0.210418630353873,"East - Mesic"
"64","East","Mesic","june","2021-06-28","sodium",1.16083333333333,6,0.0433085185359391,"East - Mesic"
"65","East","Mesic","july","2021-07-06","aluminum",0.4595,6,0.0145321482697271,"East - Mesic"
"66","East","Mesic","july","2021-07-06","calcium",4.25383333333333,6,0.239324941821319,"East - Mesic"
"67","East","Mesic","july","2021-07-06","iron",8.47402853166667,6,2.15732649911599,"East - Mesic"
"68","East","Mesic","july","2021-07-06","magnesium",0.975666666666667,6,0.0827214871991821,"East - Mesic"
"69","East","Mesic","july","2021-07-06","manganese",0.3735,6,0.0592878571041322,"East - Mesic"
"70","East","Mesic","july","2021-07-06","phosphorus",0.05,6,0,"East - Mesic"
"71","East","Mesic","july","2021-07-06","potassium",1.7705,6,0.24896770205524,"East - Mesic"
"72","East","Mesic","july","2021-07-06","sodium",0.977,6,0.0179703459436187,"East - Mesic"
"73","East","Mesic","july","2021-07-14","aluminum",0.404,6,0.0086564041803357,"East - Mesic"
"74","East","Mesic","july","2021-07-14","calcium",4.15566666666667,6,0.44350021921578,"East - Mesic"
"75","East","Mesic","july","2021-07-14","iron",2.47983333333333,6,0.438185380607087,"East - Mesic"
"76","East","Mesic","july","2021-07-14","magnesium",1.00583333333333,6,0.119215328059962,"East - Mesic"
"77","East","Mesic","july","2021-07-14","manganese",0.223,6,0.0715029136935459,"East - Mesic"
"78","East","Mesic","july","2021-07-14","phosphorus",0.05,6,0,"East - Mesic"
"79","East","Mesic","july","2021-07-14","potassium",0.954833333333333,6,0.0210117691888247,"East - Mesic"
