"","X","ID","Area","Site","Plot","Sample","date","Betterdate","ICP","concentration","month","area_site"
"1",26,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","calcium",11.94312464,"june","East-Dry"
"2",27,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","iron",0.387,"june","East-Dry"
"3",28,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","potassium",0.451,"june","East-Dry"
"4",29,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","magnesium",1.77,"june","East-Dry"
"5",30,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","manganese",0.03,"june","East-Dry"
"6",31,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","sodium",0.868,"june","East-Dry"
"7",32,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","phosphorus",0.05,"june","East-Dry"
"8",82,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","calcium",4.305,"june","East-Mesic"
"9",83,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","iron",15.19328368,"june","East-Mesic"
"10",84,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","potassium",1.677,"june","East-Mesic"
"11",85,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","magnesium",1.038,"june","East-Mesic"
"12",86,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","manganese",0.665,"june","East-Mesic"
"13",87,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","sodium",1.118,"june","East-Mesic"
"14",88,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","phosphorus",0.05,"june","East-Mesic"
"15",90,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","calcium",4.927,"june","East-Mesic"
"16",91,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","iron",35.42596271,"june","East-Mesic"
"17",92,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","potassium",1.436,"june","East-Mesic"
"18",93,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","magnesium",1.074,"june","East-Mesic"
"19",94,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","manganese",0.869,"june","East-Mesic"
"20",95,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","sodium",1.274,"june","East-Mesic"
"21",96,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","phosphorus",0.05,"june","East-Mesic"
"22",98,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","calcium",2.373,"june","East-Hydric"
"23",99,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","iron",13.68597679,"june","East-Hydric"
"24",100,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","potassium",0.697,"june","East-Hydric"
"25",101,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","magnesium",0.635,"june","East-Hydric"
"26",102,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","manganese",0.684,"june","East-Hydric"
"27",103,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","sodium",0.715,"june","East-Hydric"
"28",104,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","phosphorus",0.05,"june","East-Hydric"
"29",106,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","calcium",2.592,"june","East-Hydric"
"30",107,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","iron",21.31207136,"june","East-Hydric"
"31",108,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","potassium",0.548,"june","East-Hydric"
"32",109,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","magnesium",0.538,"june","East-Hydric"
"33",110,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","manganese",0.4,"june","East-Hydric"
"34",111,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","sodium",0.804,"june","East-Hydric"
"35",112,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","phosphorus",0.05,"june","East-Hydric"
"36",114,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","calcium",11.87812134,"june","East-Hydric"
"37",115,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","iron",4.105,"june","East-Hydric"
"38",116,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","potassium",1.245,"june","East-Hydric"
"39",117,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","magnesium",0.781,"june","East-Hydric"
"40",118,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","manganese",0.172,"june","East-Hydric"
"41",119,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","sodium",0.916,"june","East-Hydric"
"42",120,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","phosphorus",0.051,"june","East-Hydric"
"43",122,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","calcium",4.678,"june","East-Hydric"
