"","Sample_ID","Plot_ID","Collection_Date","Depth_cm","Filter_Type","elements","concentration","month"
"1","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Fe_mg/l","0.52","june"
"2","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","P_mg/l","<0.05","june"
"3","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Al_mg/l","<0.5","june"
"4","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Na_mg/l","4.53","june"
"5","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","K_mg/l","4.70","june"
"6","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Mn_mg/l","0.126","june"
"7","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Ca_mg/l","4.19","june"
"8","PhIr2021_1","E-D1","24-Jun-21","5","Cellulose acetate","Mg_mg/l","0.57","june"
"9","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Fe_mg/l","0.41","june"
"10","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","P_mg/l","<0.05","june"
"11","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Al_mg/l","<0.5","june"
"12","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Na_mg/l","5.70","june"
"13","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","K_mg/l","4.04","june"
"14","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Mn_mg/l","0.104","june"
"15","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Ca_mg/l","3.64","june"
"16","PhIr2021_2","E-D1","24-Jun-21","10","Cellulose acetate","Mg_mg/l","0.57","june"
"17","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Fe_mg/l","0.58","june"
"18","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","P_mg/l","0.10","june"
"19","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Al_mg/l","0.12","june"
"20","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Na_mg/l","1.88","june"
"21","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","K_mg/l","2.17","june"
"22","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Mn_mg/l","0.336","june"
"23","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Ca_mg/l","2.34","june"
"24","PhIr2021_3","E-H1","24-Jun-21","5","Cellulose acetate","Mg_mg/l","0.63","june"
"25","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","Fe_mg/l","0.84","june"
"26","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","P_mg/l","0.07","june"
"27","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","Al_mg/l","0.13","june"
"28","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","Na_mg/l","0.61","june"
"29","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","K_mg/l","1.20","june"
"30","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","Mn_mg/l","0.727","june"
"31","PhIr2021_4","E-H1","24-Jun-21","10","Cellulose acetate","Ca_mg/l","2.33","june"
