"","Day","Month_num","Year","Area","Site","Plot","Plot_ID","rep","thaw_depth_cm","Month","date2"
"1","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X1",20,"06",2021-06-18
"2","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X2",22,"06",2021-06-18
"3","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X3",25,"06",2021-06-18
"4","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X4",18,"06",2021-06-18
"5","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X5",17,"06",2021-06-18
"6","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X6",17,"06",2021-06-18
"7","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X7",18,"06",2021-06-18
"8","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X8",7,"06",2021-06-18
"9","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X9",22,"06",2021-06-18
"10","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X10",17,"06",2021-06-18
"11","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X11",20,"06",2021-06-18
"12","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X12",13,"06",2021-06-18
"13","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X13",20,"06",2021-06-18
"14","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X14",26,"06",2021-06-18
"15","18","Jun","2021","non-acidic tundra","Dry",1,"W-D1","X15",18,"06",2021-06-18
"16","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X1",22,"06",2021-06-18
"17","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X2",18,"06",2021-06-18
"18","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X3",19,"06",2021-06-18
"19","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X4",20,"06",2021-06-18
"20","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X5",20,"06",2021-06-18
"21","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X6",15,"06",2021-06-18
"22","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X7",20,"06",2021-06-18
"23","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X8",22,"06",2021-06-18
"24","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X9",20,"06",2021-06-18
"25","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X10",20,"06",2021-06-18
"26","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X11",15,"06",2021-06-18
"27","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X12",25,"06",2021-06-18
"28","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X13",25,"06",2021-06-18
"29","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X14",18,"06",2021-06-18
"30","18","Jun","2021","non-acidic tundra","Dry",2,"W-D2","X15",15,"06",2021-06-18
"31","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X1",12,"06",2021-06-18
"32","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X2",22,"06",2021-06-18
"33","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X3",25,"06",2021-06-18
"34","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X4",11,"06",2021-06-18
"35","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X5",20,"06",2021-06-18
"36","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X6",18,"06",2021-06-18
"37","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X7",17,"06",2021-06-18
"38","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X8",18,"06",2021-06-18
"39","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X9",20,"06",2021-06-18
"40","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X10",12,"06",2021-06-18
"41","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X11",20,"06",2021-06-18
"42","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X12",15,"06",2021-06-18
"43","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X13",17,"06",2021-06-18
"44","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X14",15,"06",2021-06-18
"45","18","Jun","2021","non-acidic tundra","Dry",3,"W-D3","X15",22,"06",2021-06-18
"46","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X1",25,"06",2021-06-18
"47","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X2",15,"06",2021-06-18
"48","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X3",12,"06",2021-06-18
"49","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X4",15,"06",2021-06-18
"50","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X5",10,"06",2021-06-18
"51","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X6",15,"06",2021-06-18
"52","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X7",12,"06",2021-06-18
"53","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X8",15,"06",2021-06-18
"54","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X9",12,"06",2021-06-18
"55","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X10",20,"06",2021-06-18
"56","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X11",10,"06",2021-06-18
"57","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X12",18,"06",2021-06-18
"58","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X13",18,"06",2021-06-18
"59","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X14",15,"06",2021-06-18
"60","18","Jun","2021","non-acidic tundra","Mesic",1,"W-M1","X15",20,"06",2021-06-18
"61","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X1",15,"06",2021-06-18
"62","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X2",30,"06",2021-06-18
"63","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X3",18,"06",2021-06-18
"64","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X4",28,"06",2021-06-18
"65","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X5",5,"06",2021-06-18
"66","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X6",15,"06",2021-06-18
"67","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X7",25,"06",2021-06-18
"68","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X8",18,"06",2021-06-18
"69","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X9",25,"06",2021-06-18
"70","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X10",15,"06",2021-06-18
"71","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X11",18,"06",2021-06-18
"72","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X12",25,"06",2021-06-18
"73","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X13",15,"06",2021-06-18
"74","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X14",15,"06",2021-06-18
"75","18","Jun","2021","non-acidic tundra","Mesic",2,"W-M2","X15",15,"06",2021-06-18
"76","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X1",20,"06",2021-06-18
"77","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X2",22,"06",2021-06-18
"78","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X3",20,"06",2021-06-18
"79","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X4",22,"06",2021-06-18
"80","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X5",18,"06",2021-06-18
"81","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X6",28,"06",2021-06-18
"82","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X7",20,"06",2021-06-18
"83","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X8",12,"06",2021-06-18
"84","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X9",18,"06",2021-06-18
"85","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X10",30,"06",2021-06-18
"86","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X11",32,"06",2021-06-18
"87","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X12",30,"06",2021-06-18
"88","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X13",22,"06",2021-06-18
"89","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X14",18,"06",2021-06-18
"90","18","Jun","2021","non-acidic tundra","Mesic",3,"W-M3","X15",20,"06",2021-06-18
"91","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X1",20,"06",2021-06-18
"92","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X2",20,"06",2021-06-18
"93","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X3",20,"06",2021-06-18
"94","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X4",21,"06",2021-06-18
"95","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X5",22,"06",2021-06-18
"96","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X6",20,"06",2021-06-18
"97","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X7",30,"06",2021-06-18
"98","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X8",22,"06",2021-06-18
"99","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X9",15,"06",2021-06-18
"100","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X10",20,"06",2021-06-18
"101","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X11",20,"06",2021-06-18
"102","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X12",20,"06",2021-06-18
"103","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X13",18,"06",2021-06-18
"104","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X14",20,"06",2021-06-18
"105","18","Jun","2021","non-acidic tundra","Hydric",1,"W-H1","X15",25,"06",2021-06-18
"106","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X1",8,"06",2021-06-18
"107","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X2",8,"06",2021-06-18
"108","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X3",8,"06",2021-06-18
"109","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X4",8,"06",2021-06-18
"110","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X5",10,"06",2021-06-18
"111","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X6",12,"06",2021-06-18
"112","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X7",10,"06",2021-06-18
"113","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X8",30,"06",2021-06-18
"114","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X9",22,"06",2021-06-18
"115","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X10",22,"06",2021-06-18
"116","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X11",25,"06",2021-06-18
"117","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X12",18,"06",2021-06-18
"118","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X13",20,"06",2021-06-18
"119","18","Jun","2021","non-acidic tundra","Hydric",2,"W-H2","X14",30,"06",2021-06-18
