"","TIMESTAMP","RECORD","site","position","Betterdate","redox_NUM_Avg","redox_NUM_Std"
"1","6/23/2022 15:16",0,"west","dry",2022-06-23 15:16:00,1,1
"2","6/23/2022 15:31",1,"west","dry",2022-06-23 15:31:00,2,2
"3","6/23/2022 15:46",2,"west","dry",2022-06-23 15:46:00,3,3
"4","6/25/2022 11:31",3,"west","dry",2022-06-25 11:31:00,4,4
"5","6/25/2022 11:46",4,"west","dry",2022-06-25 11:46:00,5,5
"6","6/25/2022 12:01",5,"west","dry",2022-06-25 12:01:00,6,6
"7","6/25/2022 12:16",6,"west","dry",2022-06-25 12:16:00,7,7
"8","6/25/2022 14:01",7,"west","dry",2022-06-25 14:01:00,8,8
"9","6/25/2022 14:16",8,"west","dry",2022-06-25 14:16:00,9,9
"10","6/25/2022 14:31",9,"west","dry",2022-06-25 14:31:00,10,10
"11","6/25/2022 14:46",10,"west","dry",2022-06-25 14:46:00,11,11
"12","6/25/2022 15:01",11,"west","dry",2022-06-25 15:01:00,12,12
"13","6/25/2022 15:16",12,"west","dry",2022-06-25 15:16:00,13,13
"14","6/25/2022 15:31",13,"west","dry",2022-06-25 15:31:00,14,14
"15","6/25/2022 15:46",14,"west","dry",2022-06-25 15:46:00,15,15
"16","6/25/2022 16:01",15,"west","dry",2022-06-25 16:01:00,16,16
"17","6/25/2022 16:16",16,"west","dry",2022-06-25 16:16:00,17,17
"18","6/25/2022 16:31",17,"west","dry",2022-06-25 16:31:00,18,18
"19","6/25/2022 16:46",18,"west","dry",2022-06-25 16:46:00,19,19
"20","6/25/2022 17:01",19,"west","dry",2022-06-25 17:01:00,20,20
"21","6/25/2022 17:16",20,"west","dry",2022-06-25 17:16:00,21,21
"22","6/25/2022 17:31",21,"west","dry",2022-06-25 17:31:00,22,22
"23","6/25/2022 17:46",22,"west","dry",2022-06-25 17:46:00,23,23
"24","6/25/2022 18:01",23,"west","dry",2022-06-25 18:01:00,24,24
"25","6/25/2022 18:16",24,"west","dry",2022-06-25 18:16:00,25,25
"26","6/25/2022 18:31",25,"west","dry",2022-06-25 18:31:00,26,26
"27","6/25/2022 18:46",26,"west","dry",2022-06-25 18:46:00,27,27
"28","6/25/2022 19:01",27,"west","dry",2022-06-25 19:01:00,28,28
"29","6/25/2022 19:16",28,"west","dry",2022-06-25 19:16:00,29,29
"30","6/25/2022 19:31",29,"west","dry",2022-06-25 19:31:00,30,30
"31","6/25/2022 19:46",30,"west","dry",2022-06-25 19:46:00,31,31
"32","6/25/2022 20:01",31,"west","dry",2022-06-25 20:01:00,32,32
"33","6/26/2022 15:01",32,"west","dry",2022-06-26 15:01:00,33,33
"34","6/26/2022 17:46",33,"west","dry",2022-06-26 17:46:00,34,34
"35","6/26/2022 18:16",34,"west","dry",2022-06-26 18:16:00,35,35
"36","6/27/2022 13:46",35,"west","dry",2022-06-27 13:46:00,36,36
"37","6/27/2022 14:31",36,"west","dry",2022-06-27 14:31:00,37,37
"38","6/27/2022 15:01",37,"west","dry",2022-06-27 15:01:00,38,38
"39","6/27/2022 15:31",38,"west","dry",2022-06-27 15:31:00,39,39
"40","6/27/2022 15:46",39,"west","dry",2022-06-27 15:46:00,40,40
"41","6/27/2022 16:01",40,"west","dry",2022-06-27 16:01:00,41,41
"42","6/27/2022 16:16",41,"west","dry",2022-06-27 16:16:00,42,42
"43","6/27/2022 16:31",42,"west","dry",2022-06-27 16:31:00,43,43
"44","6/27/2022 16:46",43,"west","dry",2022-06-27 16:46:00,44,44
"45","6/27/2022 17:01",44,"west","dry",2022-06-27 17:01:00,45,45
"46","6/27/2022 17:16",45,"west","dry",2022-06-27 17:16:00,46,46
"47","6/27/2022 17:31",46,"west","dry",2022-06-27 17:31:00,47,47
"48","6/27/2022 17:46",47,"west","dry",2022-06-27 17:46:00,48,48
"49","6/27/2022 18:16",48,"west","dry",2022-06-27 18:16:00,49,49
"50","6/28/2022 13:46",49,"west","dry",2022-06-28 13:46:00,50,50
"51","6/28/2022 18:46",50,"west","dry",2022-06-28 18:46:00,51,51
"52","6/28/2022 19:01",51,"west","dry",2022-06-28 19:01:00,52,52
"53","6/28/2022 19:46",52,"west","dry",2022-06-28 19:46:00,53,53
"54","6/28/2022 20:31",53,"west","dry",2022-06-28 20:31:00,54,54
"55","6/28/2022 20:46",54,"west","dry",2022-06-28 20:46:00,55,55
"56","6/28/2022 21:31",55,"west","dry",2022-06-28 21:31:00,56,56
"57","6/28/2022 21:46",56,"west","dry",2022-06-28 21:46:00,57,57
"58","6/29/2022 10:16",57,"west","dry",2022-06-29 10:16:00,58,58
"59","6/29/2022 10:31",58,"west","dry",2022-06-29 10:31:00,59,59
"60","6/29/2022 10:46",59,"west","dry",2022-06-29 10:46:00,60,60
"61","6/29/2022 11:01",60,"west","dry",2022-06-29 11:01:00,61,61
"62","6/29/2022 11:16",61,"west","dry",2022-06-29 11:16:00,62,62
"63","6/29/2022 11:31",62,"west","dry",2022-06-29 11:31:00,63,63
"64","6/29/2022 11:46",63,"west","dry",2022-06-29 11:46:00,64,64
"65","6/29/2022 12:01",64,"west","dry",2022-06-29 12:01:00,65,65
"66","6/29/2022 12:16",65,"west","dry",2022-06-29 12:16:00,66,66
"67","6/29/2022 12:31",66,"west","dry",2022-06-29 12:31:00,67,67
"68","6/29/2022 12:46",67,"west","dry",2022-06-29 12:46:00,68,68
"69","6/29/2022 13:01",68,"west","dry",2022-06-29 13:01:00,69,69
"70","6/29/2022 13:16",69,"west","dry",2022-06-29 13:16:00,70,70
"71","6/29/2022 13:31",70,"west","dry",2022-06-29 13:31:00,71,71
"72","6/29/2022 13:46",71,"west","dry",2022-06-29 13:46:00,72,72
"73","6/29/2022 14:01",72,"west","dry",2022-06-29 14:01:00,73,73
"74","6/29/2022 14:16",73,"west","dry",2022-06-29 14:16:00,74,74
"75","6/29/2022 14:31",74,"west","dry",2022-06-29 14:31:00,75,75
"76","6/29/2022 14:46",75,"west","dry",2022-06-29 14:46:00,76,76
"77","6/29/2022 15:01",76,"west","dry",2022-06-29 15:01:00,77,77
"78","6/29/2022 15:16",77,"west","dry",2022-06-29 15:16:00,78,78
"79","6/29/2022 15:31",78,"west","dry",2022-06-29 15:31:00,79,79
"80","6/29/2022 15:46",79,"west","dry",2022-06-29 15:46:00,80,80
"81","6/29/2022 16:01",80,"west","dry",2022-06-29 16:01:00,81,81
"82","6/29/2022 16:16",81,"west","dry",2022-06-29 16:16:00,82,82
"83","6/29/2022 16:31",82,"west","dry",2022-06-29 16:31:00,83,83
"84","6/29/2022 16:46",83,"west","dry",2022-06-29 16:46:00,84,84
"85","6/29/2022 17:01",84,"west","dry",2022-06-29 17:01:00,85,85
"86","6/29/2022 17:16",85,"west","dry",2022-06-29 17:16:00,86,86
"87","6/29/2022 17:31",86,"west","dry",2022-06-29 17:31:00,87,87
"88","6/29/2022 17:46",87,"west","dry",2022-06-29 17:46:00,88,88
"89","6/29/2022 18:01",88,"west","dry",2022-06-29 18:01:00,89,89
"90","6/29/2022 18:16",89,"west","dry",2022-06-29 18:16:00,90,90
"91","6/29/2022 18:31",90,"west","dry",2022-06-29 18:31:00,91,91
"92","6/29/2022 18:46",91,"west","dry",2022-06-29 18:46:00,92,92
"93","6/29/2022 19:01",92,"west","dry",2022-06-29 19:01:00,93,93
"94","6/29/2022 19:16",93,"west","dry",2022-06-29 19:16:00,94,94
"95","6/29/2022 19:31",94,"west","dry",2022-06-29 19:31:00,95,95
"96","6/29/2022 19:46",95,"west","dry",2022-06-29 19:46:00,96,96
"97","6/29/2022 20:01",96,"west","dry",2022-06-29 20:01:00,97,97
"98","6/29/2022 20:16",97,"west","dry",2022-06-29 20:16:00,98,98
"99","6/29/2022 20:31",98,"west","dry",2022-06-29 20:31:00,99,99
"100","6/29/2022 20:46",99,"west","dry",2022-06-29 20:46:00,100,100
"101","6/29/2022 21:01",100,"west","dry",2022-06-29 21:01:00,101,101
"102","6/29/2022 21:16",101,"west","dry",2022-06-29 21:16:00,102,102
"103","6/29/2022 21:31",102,"west","dry",2022-06-29 21:31:00,103,103
"104","6/29/2022 21:46",103,"west","dry",2022-06-29 21:46:00,104,104
"105","6/29/2022 22:01",104,"west","dry",2022-06-29 22:01:00,105,105
"106","6/29/2022 22:16",105,"west","dry",2022-06-29 22:16:00,106,106
"107","6/29/2022 22:31",106,"west","dry",2022-06-29 22:31:00,107,107
