"","TIMESTAMP","RECORD","site","position","Betterdate","redox_NUM_Avg","redox_NUM_Std"
"1","6/25/2022 13:46",0,"west","mesic",2022-06-25 13:46:00,1,1
"2","6/25/2022 14:01",1,"west","mesic",2022-06-25 14:01:00,2,2
"3","6/25/2022 14:16",2,"west","mesic",2022-06-25 14:16:00,3,3
"4","6/25/2022 14:31",3,"west","mesic",2022-06-25 14:31:00,4,4
"5","6/25/2022 14:46",4,"west","mesic",2022-06-25 14:46:00,5,5
"6","6/25/2022 15:01",5,"west","mesic",2022-06-25 15:01:00,6,6
"7","6/25/2022 15:16",6,"west","mesic",2022-06-25 15:16:00,7,7
"8","6/25/2022 15:31",7,"west","mesic",2022-06-25 15:31:00,8,8
"9","6/25/2022 15:46",8,"west","mesic",2022-06-25 15:46:00,9,9
"10","6/25/2022 16:01",9,"west","mesic",2022-06-25 16:01:00,10,10
"11","6/25/2022 16:16",10,"west","mesic",2022-06-25 16:16:00,11,11
"12","6/25/2022 16:31",11,"west","mesic",2022-06-25 16:31:00,12,12
"13","6/25/2022 16:46",12,"west","mesic",2022-06-25 16:46:00,13,13
"14","6/25/2022 17:01",13,"west","mesic",2022-06-25 17:01:00,14,14
"15","6/25/2022 17:16",14,"west","mesic",2022-06-25 17:16:00,15,15
"16","6/25/2022 17:31",15,"west","mesic",2022-06-25 17:31:00,16,16
"17","6/25/2022 17:46",16,"west","mesic",2022-06-25 17:46:00,17,17
"18","6/25/2022 18:01",17,"west","mesic",2022-06-25 18:01:00,18,18
"19","6/25/2022 18:16",18,"west","mesic",2022-06-25 18:16:00,19,19
"20","6/25/2022 18:31",19,"west","mesic",2022-06-25 18:31:00,20,20
"21","6/25/2022 18:46",20,"west","mesic",2022-06-25 18:46:00,21,21
"22","6/25/2022 19:01",21,"west","mesic",2022-06-25 19:01:00,22,22
"23","6/25/2022 19:16",22,"west","mesic",2022-06-25 19:16:00,23,23
"24","6/25/2022 19:31",23,"west","mesic",2022-06-25 19:31:00,24,24
"25","6/25/2022 19:46",24,"west","mesic",2022-06-25 19:46:00,25,25
"26","6/25/2022 20:01",25,"west","mesic",2022-06-25 20:01:00,26,26
"27","6/25/2022 20:16",26,"west","mesic",2022-06-25 20:16:00,27,27
"28","6/25/2022 20:31",27,"west","mesic",2022-06-25 20:31:00,28,28
"29","6/25/2022 20:46",28,"west","mesic",2022-06-25 20:46:00,29,29
"30","6/25/2022 21:01",29,"west","mesic",2022-06-25 21:01:00,30,30
"31","6/25/2022 21:16",30,"west","mesic",2022-06-25 21:16:00,31,31
"32","6/25/2022 21:31",31,"west","mesic",2022-06-25 21:31:00,32,32
"33","6/25/2022 21:46",32,"west","mesic",2022-06-25 21:46:00,33,33
"34","6/25/2022 22:01",33,"west","mesic",2022-06-25 22:01:00,34,34
"35","6/25/2022 22:16",34,"west","mesic",2022-06-25 22:16:00,35,35
"36","6/25/2022 22:31",35,"west","mesic",2022-06-25 22:31:00,36,36
"37","6/25/2022 22:46",36,"west","mesic",2022-06-25 22:46:00,37,37
"38","6/25/2022 23:01",37,"west","mesic",2022-06-25 23:01:00,38,38
"39","6/25/2022 23:16",38,"west","mesic",2022-06-25 23:16:00,39,39
"40","6/25/2022 23:31",39,"west","mesic",2022-06-25 23:31:00,40,40
"41","6/25/2022 23:46",40,"west","mesic",2022-06-25 23:46:00,41,41
"42","6/26/2022 0:01",41,"west","mesic",2022-06-26 00:01:00,42,42
"43","6/26/2022 0:16",42,"west","mesic",2022-06-26 00:16:00,43,43
"44","6/26/2022 0:31",43,"west","mesic",2022-06-26 00:31:00,44,44
"45","6/26/2022 0:46",44,"west","mesic",2022-06-26 00:46:00,45,45
"46","6/26/2022 1:01",45,"west","mesic",2022-06-26 01:01:00,46,46
"47","6/26/2022 1:16",46,"west","mesic",2022-06-26 01:16:00,47,47
"48","6/26/2022 1:31",47,"west","mesic",2022-06-26 01:31:00,48,48
"49","6/26/2022 1:46",48,"west","mesic",2022-06-26 01:46:00,49,49
"50","6/26/2022 2:01",49,"west","mesic",2022-06-26 02:01:00,50,50
"51","6/26/2022 2:16",50,"west","mesic",2022-06-26 02:16:00,51,51
"52","6/26/2022 2:31",51,"west","mesic",2022-06-26 02:31:00,52,52
"53","6/26/2022 2:46",52,"west","mesic",2022-06-26 02:46:00,53,53
"54","6/26/2022 3:01",53,"west","mesic",2022-06-26 03:01:00,54,54
"55","6/26/2022 3:16",54,"west","mesic",2022-06-26 03:16:00,55,55
"56","6/26/2022 3:31",55,"west","mesic",2022-06-26 03:31:00,56,56
"57","6/26/2022 3:46",56,"west","mesic",2022-06-26 03:46:00,57,57
"58","6/26/2022 4:01",57,"west","mesic",2022-06-26 04:01:00,58,58
"59","6/26/2022 4:16",58,"west","mesic",2022-06-26 04:16:00,59,59
"60","6/26/2022 4:31",59,"west","mesic",2022-06-26 04:31:00,60,60
"61","6/26/2022 4:46",60,"west","mesic",2022-06-26 04:46:00,61,61
"62","6/26/2022 5:01",61,"west","mesic",2022-06-26 05:01:00,62,62
"63","6/26/2022 5:16",62,"west","mesic",2022-06-26 05:16:00,63,63
"64","6/26/2022 5:31",63,"west","mesic",2022-06-26 05:31:00,64,64
"65","6/26/2022 5:46",64,"west","mesic",2022-06-26 05:46:00,65,65
"66","6/26/2022 6:01",65,"west","mesic",2022-06-26 06:01:00,66,66
"67","6/26/2022 6:16",66,"west","mesic",2022-06-26 06:16:00,67,67
"68","6/26/2022 6:31",67,"west","mesic",2022-06-26 06:31:00,68,68
"69","6/26/2022 6:46",68,"west","mesic",2022-06-26 06:46:00,69,69
