SampleID,Date,Time,Area,Site,Plot,Plot_ID,Subsamples_collected,Depth_cm,Solution_pH,Solution_SC,Solution_temp,Filter Type,Freeze-dried E,Comments
PhIr2021-1,24-Jun-21,10:00,East,Dry,1,E-D1,"A, B, C, D, E",5,5.42,123,4.3,Cellulose acetate,y,
PhIr2021-2,24-Jun-21,10:00,East,Dry,1,E-D1,"A, B, C, D",10,,,,Cellulose acetate,n,
PhIr2021-3,24-Jun-21,11:30,East,Hydric,1,E-H1,"A, B, C, D, E",5,,,,Cellulose acetate,y,
PhIr2021-4,24-Jun-21,11:40,East,Hydric,1,E-H1,"A, B, C, D, E",10,,,,Cellulose acetate,y,
PhIr2021-5,24-Jun-21,11:50,East,Hydric,2,E-H2,"A, B, C, D, E",5,,,,Cellulose acetate,y,
PhIr2021-6,24-Jun-21,11:55,East,Hydric,2,E-H2,"A, B, C, D, E",10,,,,Cellulose acetate,y,
PhIr2021-7,24-Jun-21,12:00,East,Hydric,3,E-H3,"A, B, C, D, E",5,,,,Cellulose acetate,y,
PhIr2021-8,24-Jun-21,12:05,East,Hydric,3,E-H3,"A, B, C, D, E",10,,,,Cellulose acetate,y,
PhIr2021-9,26-Jun-21,10:00,West,Dry,1,W-D1,"A, B, C, D, E",5,6.3,1,16.3,Cellulose acetate,y,
PhIr2021-10,26-Jun-21,10:20,West,Dry,2,W-D2,"A, B, C, D, E",10,5.7,3,18.1,Cellulose acetate,y,
PhIr2021-11,26-Jun-21,10:30,West,Dry,3,W-D3,"A, B, C, D, E",10,6.8,6,16.9,Cellulose acetate,y,
PhIr2021-12,26-Jun-21,11:00,West,Mesic,1,W-M1,"A, B, C, D, E",5,7.1,4,22.9,Cellulose acetate,y,
PhIr2021-13,26-Jun-21,11:05,West,Mesic,1,W-M1,"A, B, C, D, E",10,5.9,54,19.5,Cellulose acetate,y,measured in lab
PhIr2021-14,26-Jun-21,11:10,West,Mesic,2,W-M2,"A, B, C, D, E",5,7.5,1,20.4,Cellulose acetate,y,
PhIr2021-15,26-Jun-21,11:20,West,Mesic,2,W-M2,"A, B, C, D, E",10,5.9,38,20.7,Cellulose acetate,y,measured in lab
PhIr2021-16,26-Jun-21,11:36,West,Mesic,3,W-M3,"A, B, C, D, E",5,5.7,2,18.8,Cellulose acetate,y,
PhIr2021-17,26-Jun-21,11:30,West,Mesic,3,W-M3,"A, B, C, D, E",10,6.5,22,17.6,Cellulose acetate,y,
PhIr2021-18,26-Jun-21,11:45,West,Hydric,1,W-H1,"A, B, C, D, E",5,5.9,148,19.4,Cellulose acetate,y,measured in lab
PhIr2021-19,26-Jun-21,11:45,West,Hydric,1,W-H1,"A, B, C, D, E",10,5.9,147,19.5,Cellulose acetate,y,measured in lab
PhIr2021-20,26-Jun-21,11:55,West,Hydric,2,W-H2,"A, B, C, D, E",5,6.4,98,19.1,Cellulose acetate,y,measured in lab
PhIr2021-21,26-Jun-21,11:55,West,Hydric,2,W-H2,"A, B, C, D, E",10,6,76,19.1,Cellulose acetate,y,measured in lab
PhIr2021-22,26-Jun-21,11:35,West,Hydric,3,W-H3,"A, B, C, D, E",5,6.2,187,19.4,Cellulose acetate,y,measured in lab
PhIr2021-23,26-Jun-21,11:40,West,Hydric,3,W-H3,"A, B, C, D, E",10,6.2,157,19.8,Cellulose acetate,y,measured in lab
PhIr2021-24,1-Jul-21,10:55,East,Hydric,1,E-H1,"A, B, C, D, E",0,4.59,696,8.3,Cellulose acetate,y,soil pH probe used for temperature
PhIr2021-25,1-Jul-21,11:00,East,Hydric,1,E-H1,"A, B, C, D, E",5,4.24,22,8.5,Cellulose acetate,y,soil pH probe used for temperature
PhIr2021-26,1-Jul-21,11:05,East,Hydric,1,E-H1,"A, B, C, D, E",10,4.26,450,8.1,Cellulose acetate,y,soil pH probe used for temperature
PhIr2021-27,1-Jul-21,10:20,East,Hydric,2,E-H2,"A, B, C, D, E",0,7.3,720,14.2,Cellulose acetate,y,"solution probe used for temperature, not reliable"
PhIr2021-28,1-Jul-21,10:25,East,Hydric,2,E-H2,"A, B, C, D, E",5,5.7,1350,16.9,Cellulose acetate,y,"solution probe used for temperature, not reliable"
PhIr2021-29,1-Jul-21,10:35,East,Hydric,2,E-H2,"A, B, C, D, E",10,7.1,1400,16.7,Cellulose acetate,n,"solution probe used for temperature, not reliable"
PhIr2021-30,1-Jul-21,10:40,East,Hydric,2,E-H2,"A, B, C, D, E",20,5.18,8,13,Cellulose acetate,y,"solution probe used for temperature, not reliable"
PhIr2021-31,1-Jul-21,9:55,East,Hydric,3,E-H3,"A, B, C, D, E",0,5.1,192,13.5,Cellulose acetate,y,"solution probe used for temperature, not reliable"
