SampleID,Date,Time,Area,Site,Plot,Depth_cm,Al_ug_mL,Ca_ug_mL,Fe_ug_mL,K_ug_mL,Mg_ug_mL,Mn_ug_mL,Na_ug_mL,P_ug_mL
PhIr2022-1,27-Jun-22,14:46,East,Dry,1,10,2.05,11.94,0.86,2.69,1.38,0.49,1.9,<0.1
PhIr2022-175,15-Sep-22,16:20,East,Dry,3,20,0.06,0.64,0.13,0.03,0.1,0.03,0.04,<0.01
PhIr2022-178,15-Sep-22,17:00,East,Mesic,1,40,0.08,0.69,0.56,0.05,0.11,0.1,0.05,<0.01
PhIr2022-179,15-Sep-22,17:30,East,Mesic,3,10,0.06,0.52,0.41,0.05,0.09,0.19,0.04,<0.01
PhIr2022-180,17-Sep-22,10:20,East,Mesic,2,10,0.06,0.39,0.16,0.03,0.08,0.06,0.02,<0.01
PhIr2022-181,17-Sep-22,10:50,East,Hydric,1,10,0.09,0.58,0.63,0.05,0.08,0.09,0.05,<0.01
PhIr2022-182,17-Sep-22,10:55,East,Hydric,1,20,0.07,0.47,0.76,0.03,0.07,0.07,0.04,<0.01
PhIr2022-183,17-Sep-22,11:10,East,Hydric,2,0,0.1,0.84,0.9,0.08,0.12,0.42,0.06,<0.01
PhIr2022-184,17-Sep-22,11:05,East,Hydric,2,10,0.09,1.35,3.09,0.04,0.19,0.34,0.04,<0.01
PhIr2022-185,17-Sep-22,10:30,East,Hydric,3,0,0.09,0.66,0.67,0.07,0.09,0.16,0.06,<0.01
PhIr2022-186,17-Sep-22,10:30,East,Hydric,3,10,0.09,2.04,10.7,0.12,0.37,7.08,0.04,<0.01
PhIr2022-187,23-Sep-22,11:50,West,Mesic,3,10,0.23,0.95,0.27,0.04,0.12,0.09,0.04,<0.01
PhIr2022-188,23-Sep-22,12:30,West,Hydric,2,10,48.5,20.7,0.35,0.04,0.56,0.02,0.95,<0.01
PhIr2022-189,23-Sep-22,12:40,West,Hydric,2,0,0.01,1.69,0.07,0.02,0.22,0.02,0.04,<0.01
PhIr2022-190,23-Sep-22,12:50,West,Hydric,2,40,40.7,8.17,0.65,0.02,0.32,0.06,0.68,<0.01
PhIr2022-191,23-Sep-22,12:40,West,Hydric,2,20,13.9,36.3,0.3,0.03,0.66,0.03,0.77,0.01
PhIr2022-192,23-Sep-22,13:05,West,Hydric,3,40,0.02,3.52,0.52,0.01,0.36,0.1,0.05,<0.01
