penn_state_ID,PhIr_ID,Al_ug_ml,Ca_ug_ml,Fe_ug_ml,K_ug_ml,Mg_ug_ml,Mn_ug_ml,Na_ug_ml,P_ug_ml
23-3762,1 - 29-June-2022_westdry_1_rhizon_hcl,0.01,1.01,0.13,0.04,0.16,0.0025,0.005,0.005
23-3763,2 - 29-June-2022_westdry_2_rhizon_hcl,0.01,0.83,0.13,0.02,0.11,0.0025,0.005,0.005
23-3764,3 - 29-June-2022_westdry_3_rhizon_hcl,0.01,0.7,0.37,0.02,0.09,0.01,0.01,0.005
23-3765,4 - 29-June-2022_westmesic_1_rhizon_hcl,0.005,0.92,0.31,0.02,0.12,0.0025,0.01,0.005
23-3766,5 - 29-June-2022_westmesic_2_rhizon_hcl,0.01,0.64,0.36,0.03,0.09,0.01,0.01,0.005
23-3767,6 - 29-June-2022_westmesic_3_rhizon_hcl,0.01,0.66,0.3,0.03,0.11,0.0025,0.01,0.005
23-3768,7 - 29-June-2022_westhydric_1_rhizon_hcl,0.005,3.59,0.49,0.02,0.53,0.02,0.02,0.005
23-3769,8 - 29-June-2022_westhydric_2_rhizon_hcl,0.005,1.84,0.35,0.03,0.21,0.01,0.01,0.005
23-3770,9 - 29-June-2022_westhydric_3_rhizon_hcl,0.01,3.77,0.49,0.03,0.53,0.03,0.04,0.005
23-3771,10 - 29-June-2022_west_T1_rhizon_hcl,0.04,0.48,0.37,0.1,0.07,0.01,0.01,0.005
23-3772,11 - 29-June-2022_west_T2_rhizon_hcl,0.05,0.53,0.58,0.03,0.07,0.01,0.01,0.005
23-3773,12 - 29-June-2022_west_T3_rhizon_hcl,0.03,0.99,0.43,0.06,0.12,0.01,0.01,0.005
23-3774,13 - 29-June-2022_west_T4_rhizon_hcl,0.02,2.21,0.71,0.06,0.23,0.01,0.01,0.005
23-3775,14 - 29-June-2022_west_T5_rhizon_hcl,0.03,1.83,0.81,0.05,0.29,0.01,0.02,0.005
23-3776,15 - 29-June-2022_west_T6_rhizon_hcl,0.01,1.26,0.59,0.04,0.18,0.01,0.01,0.005
23-3777,16 - 29-June-2022_west_T7_rhizon_hcl,0.02,1.01,0.5,0.03,0.17,0.01,0.01,0.005
23-3778,17 - 29-June-2022_west_T8_rhizon_hcl,0.005,1.01,0.45,0.02,0.16,0.01,0.01,0.005
23-3779,18 - 29-June-2022_west_T9_rhizon_hcl,0.01,0.93,1.45,0.03,0.16,0.02,0.03,0.005
23-3780,19 - 29-June-2022_west_T10_rhizon_hcl,0.005,0.87,0.45,0.02,0.14,0.01,0.01,0.005
23-3781,20 - 29-June-2022_west_T11_rhizon_hcl,0.01,0.64,0.52,0.03,0.09,0.01,0.01,0.005
23-3782,21 - 29-June-2022_west_T12_rhizon_hcl,0.01,3.06,0.43,0.03,0.42,0.01,0.01,0.005
23-3783,22 - 29-June-2022_west_T13_rhizon_hcl,0.01,2.39,0.49,0.03,0.33,0.01,0.01,0.005
23-3784,23 - 18-July-2022_eastdry_1_rhizon_hcl,0.02,1.18,0.04,0.02,0.13,0.0025,0.005,0.005
