date,sample,site,soil_layer,dry_wet,BG,LAP,NAG,PHOS
1-Jul-17,East D1,Dry,Organic,0.1374,3492.13,49.85,7107.72,
1-Jul-17,East D2,Dry,Organic,0.1642,3724.92,0.000001,6936.62,12385.15
1-Jul-17,East D3,Dry,Organic,0.1494,,0.000001,,9135.40
1-Jul-17,East M1,Mesic,Organic,0.1612,,100.82,,15542.03
1-Jul-17,East M2,Mesic,Organic,0.1806,3024.66,194.58,5199.51,11689.87
1-Jul-17,East M3,Mesic,Organic,0.157,3344.38,114.76,4012.22,
1-Jul-17,East H1,Hydric,Organic,0.1366,,0.000001,,3032.86
1-Jul-17,East H2,Hydric,Organic,0.1732,6177.41,0.000001,3636.94,1430.62
1-Jul-17,East H3,Hydric,Organic,0.1782,5202.23,0.000001,3151.63,
4-Jul-17,West D1,Dry,Organic,0.1312,0.000001,1785.11,2334.11,3672.54
4-Jul-17,West D2,Dry,Organic,0.1756,,979.62,2706.98,4037.70
4-Jul-17,West D3,Dry,Organic,0.2304,,814.37,2025.31,3669.03
4-Jul-17,West M1,Mesic,Organic,0.1516,,970.41,1950.15,3613.06
4-Jul-17,West M2,Mesic,Organic,0.14,,1288.07,2111.73,3500.95
4-Jul-17,West M3,Mesic,Organic,0.0842,,2983.14,,
4-Jul-17,West H1,Hydric,Organic,0.1402,,332.22,1614.42,5279.25
4-Jul-17,West H2,Hydric,Organic,0.1412,,453.28,1330.28,6168.70
4-Jul-17,West H3,Hydric,Organic,0.1488,0.000001,268.43,954.27,1882.04
19-Jul-17,East D1,Dry,Organic,0.2944,1358.84,0.000001,564.49,447.88
19-Jul-17,East D2,Dry,Organic,0.503,672.73,0.000001,928.04,
19-Jul-17,East D3,Dry,Organic,0.4656,924.37,0.64,1057.11,2659.11
19-Jul-17,East M1,Mesic,Organic,0.4432,1149.06,0.000001,654.35,2063.08
19-Jul-17,East M2,Mesic,Organic,0.4384,1763.71,11.11,1004.14,1756.69
19-Jul-17,East M3,Mesic,Organic,0.4326,1150.72,2.12,907.71,1391.53
19-Jul-17,East H1,Hydric,Organic,0.3814,926.06,0.000001,281.35,530.42
19-Jul-17,East H2,Hydric,Organic,0.4262,629.89,0.000001,247.52,580.37
19-Jul-17,East H3,Hydric,Organic,0.4444,2933.99,0.000001,243.19,580.40
22-Jul-17,West D1,Dry,Organic,0.2876,257.83,792.53,1788.41,3606.13
22-Jul-17,West D2,Dry,Organic,0.1616,1397.05,1191.23,3511.72,7926.30
22-Jul-17,West D3,Dry,Organic,0.2414,278.69,1063.98,3160.96,4126.90
22-Jul-17,West M1,Mesic,Organic,0.1902,1416.69,1649.19,3995.32,5661.61
22-Jul-17,West M2,Mesic,Organic,0.1364,0.000001,3561.70,,
22-Jul-17,West M3,Mesic,Organic,0.1846,0.000001,1204.48,2353.56,5065.38
22-Jul-17,West H1,Hydric,Organic,0.169,0.000001,750.48,2278.26,9270.60
22-Jul-17,West H2,Hydric,Organic,0.1402,,2361.33,3243.44,
22-Jul-17,West H3,Hydric,Organic,0.1738,1277.40,1724.89,3818.71,10607.40
2-Aug-17,East D1,Dry,Organic,0.2316,,154.68,,
2-Aug-17,East D2,Dry,Organic,0.3124,2147.42,122.13,3304.98,
2-Aug-17,East D3,Dry,Organic,0.2792,4651.83,8.85,4675.62,10381.19
2-Aug-17,East M1,Mesic,Organic,0.2168,,240.93,,
2-Aug-17,East M2,Mesic,Organic,0.2626,,98.37,7440.36,
2-Aug-17,East M3,Mesic,Organic,0.4072,4177.51,54.06,3171.86,8196.28
2-Aug-17,East H1,Hydric,Organic,0.1942,,215.51,,
2-Aug-17,East H2,Hydric,Organic,0.3166,,8.47,4723.30,7655.31
2-Aug-17,East H3,Hydric,Organic,0.2682,3818.95,34.53,2702.84,7841.04
2-Aug-17,East D1,Dry,Mineral,0.8046,599.71,0.000001,269.67,1140.70
2-Aug-17,East D2,Dry,Mineral,0.7856,1007.27,0.000001,557.38,1090.44
2-Aug-17,East D3,Dry,Mineral,0.755,622.74,0.000001,740.69,2688.71
2-Aug-17,East M1,Mesic,Mineral,0.747,595.82,0.000001,246.10,1078.65
2-Aug-17,East M2,Mesic,Mineral,0.7734,196.05,0.000001,205.38,723.44
2-Aug-17,East M3,Mesic,Mineral,0.7572,427.40,0.000001,171.97,1449.20
2-Aug-17,East H1,Hydric,Mineral,0.7122,489.18,0.000001,587.51,1734.24
2-Aug-17,East H2,Hydric,Mineral,0.6666,372.88,0.000001,506.27,155.21
2-Aug-17,East H3,Hydric,Mineral,0.481,1128.03,0.000001,902.74,1316.90
