date,sample,site,soil_layer,dry_wet,BG,LAP,NAG,PHOS
27-Jul-2018,East D1,Dry,Organic,0.3734,9661.26,0.000001,0.000001,10238.70
27-Jul-2018,East D2,Dry,Organic,0.3666,7663.13,0.000001,0.000001,31626.47
27-Jul-2018,East D3,Dry,Organic,0.3688,6997.15,0.000001,0.000001,28580.70
27-Jul-2018,East M1,Mesic,Organic,0.2236,18091.58,0.000001,0.000001,25909.98
27-Jul-2018,East M2,Mesic,Organic,0.2028,23590.07,234.41,0.000001,49481.92
27-Jul-2018,East M3,Mesic,Organic,0.1606,13304.47,61.59,0.000001,64189.91
27-Jul-2018,East H1,Hydric,Organic,0.2298,9442.39,11.42,0.000001,52212.46
27-Jul-2018,East H2,Hydric,Organic,0.2314,14751.56,73.49,0.000001,29822.90
27-Jul-2018,East H3,Hydric,Organic,0.1588,4924.22,0.000001,0.000001,7881.74
27-Jul-2018,East D1,Dry,Mineral,0.8432,0.000001,0.000001,0.000001,0.000001
27-Jul-2018,East D2,Dry,Mineral,0.7462,403.49,0.000001,0.000001,219.55
27-Jul-2018,East D3,Dry,Mineral,0.432,9067.63,0.000001,0.000001,11545.12
27-Jul-2018,East M1,Mesic,Mineral,0.7884,0.000001,0.000001,0.000001,776.32
27-Jul-2018,East M2,Mesic,Mineral,0.5614,0.000001,0.000001,0.000001,0.000001
27-Jul-2018,East M3,Mesic,Mineral,0.6976,0.000001,0.000001,0.000001,0.000001
27-Jul-2018,East H1,Hydric,Mineral,0.5536,0.000001,0.000001,0.000001,0.000001
27-Jul-2018,East H2,Hydric,Mineral,0.557,0.000001,0.000001,0.000001,1381.70
27-Jul-2018,East H3,Hydric,Mineral,0.4756,615.76,0.000001,0.000001,2171.50
3-Aug-2018,West D1,Dry,Organic,0.1742,28212.90,870.78,0.000001,69510.20
3-Aug-2018,West D2,Dry,Organic,0.1864,38296.55,526.22,0.000001,38856.93
3-Aug-2018,West D3,Dry,Organic,0.1962,18018.72,649.84,0.000001,64247.42
3-Aug-2018,West M1,Mesic,Organic,0.1776,24931.02,802.66,0.000001,31928.14
3-Aug-2018,West M2,Mesic,Organic,0.1718,34361.97,1097.01,0.000001,57776.02
3-Aug-2018,West M3,Mesic,Organic,0.1686,33529.21,669.36,0.000001,42799.15
3-Aug-2018,West H1,Hydric,Organic,0.2052,993.42,0.000001,0.000001,15457.84
3-Aug-2018,West H2,Hydric,Organic,0.2356,3806.91,0.000001,0.000001,3406.02
3-Aug-2018,West H3,Hydric,Organic,0.1842,7759.18,0.000001,0.000001,19919.09
3-Aug-2018,West D1,Dry,Mineral,0.684,745.56,0.000001,0.000001,0.000001
3-Aug-2018,West D2,Dry,Mineral,0.6884,1816.33,0.000001,0.000001,2647.50
3-Aug-2018,West D3,Dry,Mineral,0.6466,4732.95,0.000001,0.000001,5987.03
3-Aug-2018,West M1,Mesic,Mineral,0.8216,336.21,0.000001,0.000001,333.80
3-Aug-2018,West M2,Mesic,Mineral,0.8572,967.14,0.000001,0.000001,285.93
3-Aug-2018,West M3,Mesic,Mineral,0.8298,0.000001,0.000001,0.000001,0.000001
3-Aug-2018,West H1,Hydric,Mineral,0.6324,0.000001,0.000001,0.000001,123.83
3-Aug-2018,West H2,Hydric,Mineral,0.2642,6462.66,0.000001,0.000001,16751.82
