Sample_ID,Core_ID,Date collected,Area,Site,Plot#,Plot ID,Horizon,Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Paper bag weights (g),Bag + Wet Core Weight (g),Wet Core Weight (g),Dry weight of core + paper bag (g),Dry Core Weight (g),Soil Bulk Density (g cm-3),Gravitimetric Soil Moisture (%),Gravimetric water content (g H2O/g dry soil),Samples shipped to UTK,Shipping date,Shipment actual arrival date,Sample conditon upon arrival,Bag name,Comments,Previously assessed at CLS,Assessed at APS,Gravitimetric soil moisture content to be conducted,Sample sent for thin section,Bulk geochemical analysis
20210706-E-D1_O1,20210706-E-D1,6-Jul-21,East,Dry,1,E-D1,O1,10.5,10,10,10.5,10.3,6.8,47.2,40.4,16.21,9.41,0.05,76.7,3.29,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,13
20210706-E-D1_O2,20210706-E-D1,6-Jul-21,East,Dry,1,E-D1,O2,5.5,5,4.5,5.5,5.1,6.9,34.3,27.4,12.99,6.09,0.06,77.8,3.5,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,19
20210706-E-D2_O,20210706-E-D2,6-Jul-21,East,Dry,2,E-D2,O,5.5,5.5,7.5,5,5.9,6.9,30,23.1,11.14,4.24,0.04,81.6,4.45,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,1
20210706-E-D2_M,20210706-E-D2,6-Jul-21,East,Dry,2,E-D2,M,13,11,11.5,12.5,12,7,203.8,196.8,106.96,99.96,0.42,49.2,0.97,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,2
20210706-E-D3_O,20210706-E-D3,6-Jul-21,East,Dry,3,E-D3,O,8,8,8.5,9.5,8.5,6.9,69.5,62.6,22.37,15.47,0.09,75.3,3.05,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,,,,,
20210706-E-D3_M,20210706-E-D3,6-Jul-21,East,Dry,3,E-D3,M,11,11,10,10.5,10.6,7,209.2,202.2,149.45,142.45,0.68,29.5,0.42,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,,,,,
20210706-E-M1_O1,20210706-E-M1,6-Jul-21,East,Mesic,1,E-M1,O1,13.5,13,12.5,13.5,13.1,6.9,70,63.1,16.73,9.83,0.04,84.4,5.42,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,14
20210706-E-M1_O2,20210706-E-M1,6-Jul-21,East,Mesic,1,E-M1,O2,7,9.5,9,8,8.4,6.9,40,33.1,11.46,4.56,0.03,86.2,6.26,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,,,,20
20210706-E-M2_O,20210706-E-M2,6-Jul-21,East,Mesic,2,E-M2,O,3.5,4,5,4.5,4.3,6.9,34,27.1,13.31,6.41,0.08,76.3,3.23,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,3
20210706-E-M2_M,20210706-E-M2,6-Jul-21,East,Mesic,2,E-M2,M,11.5,13,13.5,13.5,12.9,6.9,376.9,370,291.91,285.01,1.13,23,0.3,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,4
20210706-E-M3_O,20210706-E-M3,6-Jul-21,East,Mesic,3,E-M3,O,7.5,11,10.5,10.5,9.9,6.9,88.4,81.5,39.11,32.21,0.17,60.5,1.53,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,,,,,
20210706-E-H1_O1,20210706-E-H1,6-Jul-21,East,Hydric,1,E-H1,O1,12,10,9,9.5,10.1,6.9,126.9,120,27.23,20.33,0.1,83.1,4.9,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,,,,,
20210706-E-H1_O2,20210706-E-H1,6-Jul-21,East,Hydric,1,E-H1,O2,4,7,6.5,7,6.1,7,63.2,56.2,18.81,11.81,0.1,79,3.76,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,,,,,
20210706-E-H2_O1,20210706-E-H2,6-Jul-21,East,Hydric,2,E-H2,O1,11,9,11,11,10.5,6.9,56.7,49.8,13.4,6.5,0.03,86.9,6.66,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,5
20210706-E-H2_O2,20210706-E-H2,6-Jul-21,East,Hydric,2,E-H2,O2,8.5,8.5,8,8,8.3,6.9,132.5,125.6,39.35,32.45,0.2,74.2,2.87,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,6
20210706-E-H3_O1,20210706-E-H3,6-Jul-21,East,Hydric,3,E-H3,O1,,,,,,7,51.1,44.1,13.57,6.57,,85.1,5.71,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,15
20210706-E-H3_O2,20210706-E-H3,6-Jul-21,East,Hydric,3,E-H3,O2,11,10,10,11,10.5,4.4,140.1,135.7,39.4,35,0.17,74.2,2.88,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,6th July 2021 Bag 2 of 2 ,,Analyzed,,,,21
20210707-W-D1_O,20210707-W-D1,7-Jul-21,West,Dry,1,W-D1,O,18.5,18,16.5,17.5,17.6,7,154.7,147.7,33.29,26.29,0.08,82.2,4.62,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,,,,24
20210707-W-D2_O,20210707-W-D2,7-Jul-21,West,Dry,2,W-D2,O,11.5,12,12,9,11.1,7,145.2,138.2,38.43,31.43,0.14,77.3,3.4,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,16
20210707-W-D3_O1,20210707-W-D3,7-Jul-21,West,Dry,3,W-D3,O1,12,10.5,11,11,11.1,7,81.3,74.3,24.77,17.77,0.08,76.1,3.18,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,7
20210707-W-D3_O2,20210707-W-D3,7-Jul-21,West,Dry,3,W-D3,O2,5,5.5,5.5,5.5,5.4,7,97.3,90.3,31.31,24.31,0.23,73.1,2.71,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,8
20210707-W-M1_O,20210707-W-M1,7-Jul-21,West,Mesic,1,W-M1,O,10.5,11,11,10.5,10.8,6.9,120,113.1,26.71,19.81,0.09,82.5,4.71,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,,,,,
20210707-W-M2_O1,20210707-W-M2,7-Jul-21,West,Mesic,2,W-M2,O1,6.5,6.5,7,6.5,6.6,6.8,63.9,57.1,15.83,9.03,0.07,84.2,5.32,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,9
20210707-W-M2_O2,20210707-W-M2,7-Jul-21,West,Mesic,2,W-M2,O2,6,7,6,6,6.3,6.9,93.6,86.7,24.67,17.77,0.14,79.5,3.88,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,10
20210707-W-M3_O1,20210707-W-M3,7-Jul-21,West,Mesic,3,W-M3,O1,7,7.5,6,5,6.4,6.9,64.5,57.6,14.9,8,0.06,86.1,6.2,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,Analyzed,,,17
20210707-W-M3_O2,20210707-W-M3,7-Jul-21,West,Mesic,3,W-M3,O2,9,9,10,8,9,6.8,139.3,132.5,34.39,27.59,0.16,79.2,3.8,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 1 of 2 ,,Analyzed,,,,22
20210707-W-H1_O1,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O1,8,8.5,9,9,8.6,7,149.7,142.7,29.96,22.96,0.14,83.9,5.22,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,11
20210707-W-H1_O2,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O2,9.5,7.5,9,9.5,8.9,7,141,134,27.46,20.46,0.12,84.7,5.55,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,12
20210707-W-H2_O1,20210707-W-H2,7-Jul-21,West,Hydric,2,W-H2,O1,9,9,9.5,8.5,9,6.9,122.9,116,27.16,20.26,0.11,82.5,4.73,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,Analyzed,Analyzed,,,18
20210707-W-H2_O2,20210707-W-H2,7-Jul-21,West,Hydric,2,W-H2,O2,5,4,5.5,6.5,5.3,7,91.5,84.5,21.75,14.75,0.14,82.5,4.73,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,Analyzed,,,,23
20210707-W-H3_O1,20210707-W-H3,7-Jul-21,West,Hydric,3,W-H3,O1,8.5,7,7.5,8.5,7.9,6.9,90.9,84,23.11,16.21,0.1,80.7,4.18,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,,,,,
20210707-W-H3_O2,20210707-W-H3,7-Jul-21,West,Hydric,3,W-H3,O2,16.5,15.5,12,12.5,14.1,6.9,171.3,164.4,37.1,30.2,0.11,81.6,4.44,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,7th July 2021 Bag 2 of 2 ,,,,,,
20210713-W-D1_O1,20210713-W-D1,13-Jul-21,West,Dry,1,W-D1,O1,9,9,10.5,10.5,9.8,4.3,55.6,51.3,14.69,10.39,0.05,79.7,3.94,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-D1_O2,20210713-W-D1,13-Jul-21,West,Dry,1,W-D1,O2,10.5,11,10.5,11.5,10.9,4.3,160.4,156.1,40.42,36.12,0.17,76.9,3.32,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-D2_O1,20210713-W-D2,13-Jul-21,West,Dry,2,W-D2,O1,12.5,12.5,13,13,12.8,4.2,78.9,74.7,14.08,9.88,0.04,86.8,6.56,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-D2_O2,20210713-W-D2,13-Jul-21,West,Dry,2,W-D2,O2,5.5,6.5,8,7,6.8,4.1,96.4,92.3,23.04,18.94,0.14,79.5,3.87,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-D3_O1,20210713-W-D3,13-Jul-21,West,Dry,3,W-D3,O1,11,12,10,11,11,6.9,55.2,48.3,17.18,10.28,0.05,78.7,3.7,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-D3_O2,20210713-W-D3,13-Jul-21,West,Dry,3,W-D3,O2,11,10.5,9.5,9,10,7,112.8,105.8,31.65,24.65,0.13,76.7,3.29,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-M1_O1,20210713-W-M1,13-Jul-21,West,Mesic,1,W-M1,O1,12,13,12.5,11.5,12.3,4.3,75.1,70.8,17.01,12.71,0.05,82,4.57,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 1 of 2,,,,,,
20210713-W-M1_O2,20210713-W-M1,13-Jul-21,West,Mesic,1,W-M1,O2,8.5,8,8.5,8.5,8.4,4.3,115.8,111.5,24.34,20.04,0.12,82,4.56,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-M2_O1,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,O1,5.5,6.5,6.5,6.5,6.3,4.3,33.7,29.4,12.04,7.74,0.06,73.7,2.8,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-M2_O2,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,O2,5.5,5,5.5,4,5,4.4,75.4,71,19.94,15.54,0.16,78.1,3.57,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-M2_M,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,M,6.5,3.5,6.5,5.5,5.5,4.4,143.4,139,110.09,105.69,0.98,24,0.32,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-M3_O,20210713-W-M3,13-Jul-21,West,Mesic,3,W-M3,O,18.5,18.5,19,18.5,18.6,4.1,,-4.1,20.79,16.69,0.05,,,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H1_O1,20210713-W-H1,13-Jul-21,West,Hydric,1,W-H1,O1,8.5,8.5,8.5,8.5,8.5,4.1,75.9,71.8,9.14,5.04,0.03,93,13.25,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H1_O2,20210713-W-H1,13-Jul-21,West,Hydric,1,W-H1,O2,10,9,7,10,9,4.1,113,108.9,19.43,15.33,0.09,85.9,6.1,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H2_O1,20210713-W-H2,13-Jul-21,West,Hydric,2,W-H2,O1,10,9.5,8.5,9.5,9.4,4.4,152.5,148.1,32.34,27.94,0.15,81.1,4.3,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H2_O2,20210713-W-H2,13-Jul-21,West,Hydric,2,W-H2,O2,12,11,11.5,11.5,11.5,4.3,,-4.3,34.62,30.32,0.13,,,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H3_O1,20210713-W-H3,13-Jul-21,West,Hydric,3,W-H3,O1,10.5,10,10,10,10.1,4.1,98.2,94.1,22,17.9,0.09,81,4.26,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210713-W-H3_O2,20210713-W-H3,13-Jul-21,West,Hydric,3,W-H3,O2,8.5,8.5,9.5,9.5,9,4.1,108.2,104.1,22.99,18.89,0.11,81.9,4.51,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,13th July 2021 Bag 2 of 2,,,,,,
20210714-E-D1_O1,20210714-E-D1,14-Jul-21,East,Dry,1,E-D1,O1,6,4.5,7.5,7,6.3,4.2,27.9,23.7,8.93,4.73,0.04,80,4.01,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 1 of 2,,,,,,
20210714-E-D1_O2,20210714-E-D1,14-Jul-21,East,Dry,1,E-D1,O2,7.5,7,6.5,6,6.8,4.3,100.7,96.4,40.18,35.88,0.27,62.8,1.69,Shipment 2,10/21/2021,10/26/2021,Freeze Dried,14th July 2021 Bag 2 of 2,,,,,,
