Date,Time,Area,Site,Plot,Depth (cm),Sample ID,SampleName,SampleID,F-ppm,Cl-ppm,NO3N-ppm,Br-ppm,SO4-ppm,PO4-P-ppm,ICNotes
27-Jun-22,14:46,East,Dry,1,10,PhIr2022_1B,1,PhIr2022-1,0.064,7.953,0.002,0.01,4.444,0.001,
27-Jun-22,15:46,East,Mesic,2,10,PhIr2022_2B,2,PhIr2022-2,0.089,15.041,0.01,,8.837,0.001,
27-Jun-22,16:20,East,Mesic,3,10,PhIr2022_3B,3,PhIr2022-3,0.071,8.881,0.009,0,0.929,0.001,
27-Jun-22,16:52,East,Hydric,3,10,PhIr2022_4B,4,PhIr2022-4,0.114,19.945,0.002,0.01,12.216,0,
27-Jun-22,16:55,East,Hydric,2,10,PhIr2022_5B,5,PhIr2022-5,0.012,1.478,0.014,0.01,0.758,0,
27-Jun-22,17:20,East,Hydric,1,10,PhIr2022_6B,6,PhIr2022-6,0.125,19.68,0.011,0,11.228,0.001,
29-Jun-22,12:27,West,Dry,1,0,PhIr2022_7B,7,PhIr2022-7,0.14,1.063,0.035,,2.506,0,
29-Jun-22,14:50,West,Mesic,2,0,PhIr2022_8B,8,PhIr2022-8,0.085,14.515,0.003,,8.973,,
29-Jun-22,13:43,West,Mesic,2,10,PhIr2022_9B,9,PhIr2022-9,0.105,18.025,0.005,0,11.618,0,
29-Jun-22,13:10,West,Mesic,3,0,PhIr2022_10B,10,PhIr2022-10,0.055,8.498,,0,5.907,0,
29-Jun-22,13:50,West,Mesic,3,10,PhIr2022_11B,11,PhIr2022-11,0.112,12.631,,,7.97,,
29-Jun-22,14:04,West,Mesic,3,20,PhIr2022_12B,12,PhIr2022-12,0.105,18.148,0,,11.227,0.001,
29-Jun-22,13:25,West,Hydric,1,0,PhIr2022_13B,13,PhIr2022-13,0.114,14.699,0.002,,11.944,0,
29-Jun-22,15:07,West,Hydric,1,10,PhIr2022_14B,14,PhIr2022-14,0.087,10.365,,,6.099,,
29-Jun-22,15:15,West,Hydric,1,20,PhIr2022_15B,15,PhIr2022-15,0.075,7.732,0.054,,4.201,,
29-Jun-22,15:00,West,Hydric,2,0,PhIr2022_16B,16,PhIr2022-16,0.002,0.508,0.033,,2.152,,
29-Jun-22,15:21,West,Hydric,2,10,PhIr2022_17B,17,PhIr2022-17,0.066,9.865,0.002,0,11.062,,
29-Jun-22,15:29,West,Hydric,2,20,PhIr2022_18B,18,PhIr2022-18,0.078,9.383,,0,9.695,,
29-Jun-22,14:40,West,Hydric,3,0,PhIr2022_19B,19,PhIr2022-19,0.064,9.171,0.002,0,5.572,,
29-Jun-22,15:37,West,Hydric,3,10,PhIr2022_20B,20,PhIr2022-20,0.075,9.909,,0.01,5.479,,
