Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,inj_vol
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 16:57,1,1,NPOC,18.39,3.712,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.9,1,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:02,1,2,NPOC,7.373,1.399,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.9,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:07,1,3,NPOC,4.501,0.796,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.9,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:12,1,4,NPOC,4.721,0.8422,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.9,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 16:57,1,1,TN,2.38,0.9962,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,1,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:02,1,2,TN,0.865,0.8509,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:07,1,3,TN,0.3229,0.7989,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:12,1,4,TN,0.6447,0.8298,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:21,1,1,NPOC,4.648,0.8268,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:25,1,2,NPOC,4.552,0.8067,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50
