Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,Inj. Vol.
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:07,1,1,NPOC,1.814,0.2319,NPOC:0.09434mg/L TN:0.7822mg/L,0.5682,49.02,0,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:12,1,2,NPOC,0.7983,0.01861,NPOC:0.09434mg/L TN:0.7822mg/L,0.5682,49.02,0,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:16,1,3,NPOC,1.92,0.2541,NPOC:0.09434mg/L TN:0.7822mg/L,0.5682,49.02,1,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:21,1,4,NPOC,0.8648,0.03257,NPOC:0.09434mg/L TN:0.7822mg/L,0.5682,49.02,0,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:07,1,1,TN,0,0.7679,NPOC:0.09434mg/L TN:0.7822mg/L,0.215,144.35,0,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:12,1,2,TN,0.0514,0.7729,NPOC:0.09434mg/L TN:0.7822mg/L,0.215,144.35,0,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:16,1,3,TN,1.359,0.8983,NPOC:0.09434mg/L TN:0.7822mg/L,0.215,144.35,1,50
Unknown,NPOC/TN,MilliQ,MilliQ,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:21,1,4,TN,0.3954,0.8059,NPOC:0.09434mg/L TN:0.7822mg/L,0.215,144.35,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:30,1,1,NPOC,224.8,47.05,NPOC:47.10mg/L TN:0.7765mg/L,0.7371,0.33,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:34,1,2,NPOC,225.9,47.28,NPOC:47.10mg/L TN:0.7765mg/L,0.7371,0.33,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:38,1,3,NPOC,224.5,46.98,NPOC:47.10mg/L TN:0.7765mg/L,0.7371,0.33,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:30,1,1,TN,0.1497,0.7823,NPOC:47.10mg/L TN:0.7765mg/L,0.05722,63.69,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:34,1,2,TN,0.5706,0.8227,NPOC:47.10mg/L TN:0.7765mg/L,0.05722,63.69,1,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:38,1,3,TN,0.0841,0.776,NPOC:47.10mg/L TN:0.7765mg/L,0.05722,63.69,0,50
Unknown,NPOC/TN,50 ppm C Standard,50 ppm C Standard,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:44,1,4,TN,0.0357,0.7714,NPOC:47.10mg/L TN:0.7765mg/L,0.05722,63.69,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:53,1,1,NPOC,31.03,6.366,NPOC:6.413mg/L TN:1.020mg/L,0.4398,1.41,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 11:57,1,2,NPOC,30.97,6.353,NPOC:6.413mg/L TN:1.020mg/L,0.4398,1.41,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:02,1,3,NPOC,29.87,6.122,NPOC:6.413mg/L TN:1.020mg/L,0.4398,1.41,1,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:06,1,4,NPOC,31.76,6.519,NPOC:6.413mg/L TN:1.020mg/L,0.4398,1.41,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:53,1,1,TN,3.423,1.096,NPOC:6.413mg/L TN:1.020mg/L,0.1374,5.22,1,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 11:57,1,2,TN,2.506,1.008,NPOC:6.413mg/L TN:1.020mg/L,0.1374,5.22,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:02,1,3,TN,2.608,1.018,NPOC:6.413mg/L TN:1.020mg/L,0.1374,5.22,0,50
Unknown,NPOC/TN,14,14,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:06,1,4,TN,2.778,1.034,NPOC:6.413mg/L TN:1.020mg/L,0.1374,5.22,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:15,1,1,NPOC,30.14,6.179,NPOC:6.061mg/L TN:1.118mg/L,0.4885,1.65,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:19,1,2,NPOC,30.49,6.252,NPOC:6.061mg/L TN:1.118mg/L,0.4885,1.65,1,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:23,1,3,NPOC,29.27,5.996,NPOC:6.061mg/L TN:1.118mg/L,0.4885,1.65,0,50
