[Header],
System,TOC-L syringe sparge,
S/W Version,1.00,
User,apaters1,
Date/Time,12/1/2022 10:35:38 AM,

[System],
Instrument Options,TOC/ASI/IC Unit/TN/Sparge Kit/,
Catalyst,Saline,
Cell Length,long,

[Data],
Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,Inj. Vol.,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 4:57:50 PM,1,1,NPOC,18.39,3.712,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.90,1,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:02:16 PM,1,2,NPOC,7.373,1.399,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.90,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:07:37 PM,1,3,NPOC,4.501,0.7960,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.90,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:12:00 PM,1,4,NPOC,4.721,0.8422,NPOC:1.012mg/L TN:0.8265mg/L,1.598,28.90,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 4:57:50 PM,1,1,TN,2.380,0.9962,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,1,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:02:16 PM,1,2,TN,0.8650,0.8509,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:07:37 PM,1,3,TN,0.3229,0.7989,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:12:00 PM,1,4,TN,0.6447,0.8298,NPOC:1.012mg/L TN:0.8265mg/L,0.2726,44.63,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:21:02 PM,1,1,NPOC,4.648,0.8268,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:25:30 PM,1,2,NPOC,4.552,0.8067,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:29:47 PM,1,3,NPOC,2.716,0.4212,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,1,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:34:07 PM,1,4,NPOC,3.128,0.5077,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:21:02 PM,1,1,TN,4.134,1.164,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,1,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:25:30 PM,1,2,TN,1.675,0.9286,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:29:47 PM,1,3,TN,1.087,0.8722,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50,
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:34:07 PM,1,4,TN,0.6637,0.8316,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:42:55 PM,1,1,NPOC,3.434,0.5720,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:47:28 PM,1,2,NPOC,5.178,0.9381,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,1,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:51:45 PM,1,3,NPOC,3.869,0.6633,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50,
