Station_ID,Date_Time,air_temp_set_1_F
TUAA2,06/01/2022 00:00 UTC,54.37
TUAA2,06/01/2022 00:05 UTC,54.61
TUAA2,06/01/2022 00:10 UTC,54.63
TUAA2,06/01/2022 00:15 UTC,54.73
TUAA2,06/01/2022 00:20 UTC,54.19
TUAA2,06/01/2022 00:25 UTC,53.67
TUAA2,06/01/2022 00:30 UTC,54.16
TUAA2,06/01/2022 00:35 UTC,54.66
TUAA2,06/01/2022 00:40 UTC,54.57
TUAA2,06/01/2022 00:45 UTC,54.1
TUAA2,06/01/2022 00:50 UTC,53.87
TUAA2,06/01/2022 00:55 UTC,54.1
TUAA2,06/01/2022 01:00 UTC,54.19
TUAA2,06/01/2022 01:05 UTC,54.88
TUAA2,06/01/2022 01:10 UTC,54.3
TUAA2,06/01/2022 01:15 UTC,54.99
TUAA2,06/01/2022 01:20 UTC,54.1
TUAA2,06/01/2022 01:25 UTC,54.41
TUAA2,06/01/2022 01:30 UTC,54.14
TUAA2,06/01/2022 01:35 UTC,54.1
TUAA2,06/01/2022 01:40 UTC,54.66
TUAA2,06/01/2022 01:45 UTC,55.02
TUAA2,06/01/2022 01:50 UTC,54.75
TUAA2,06/01/2022 01:55 UTC,55.85
TUAA2,06/01/2022 02:00 UTC,56.01
TUAA2,06/01/2022 02:05 UTC,54.95
TUAA2,06/01/2022 02:10 UTC,54.64
TUAA2,06/01/2022 02:15 UTC,54.79
TUAA2,06/01/2022 02:20 UTC,54.25
TUAA2,06/01/2022 02:25 UTC,54.09
TUAA2,06/01/2022 02:30 UTC,54.54
TUAA2,06/01/2022 02:35 UTC,53.74
TUAA2,06/01/2022 02:40 UTC,51.4
TUAA2,06/01/2022 02:45 UTC,53.6
TUAA2,06/01/2022 02:50 UTC,52.61
TUAA2,06/01/2022 02:55 UTC,52.14
TUAA2,06/01/2022 03:00 UTC,50.56
TUAA2,06/01/2022 03:05 UTC,51.12
TUAA2,06/01/2022 03:10 UTC,52
TUAA2,06/01/2022 03:15 UTC,52.47
TUAA2,06/01/2022 03:20 UTC,51.24
TUAA2,06/01/2022 03:25 UTC,50.11
TUAA2,06/01/2022 03:30 UTC,51.37
TUAA2,06/01/2022 03:35 UTC,52.38
TUAA2,06/01/2022 03:40 UTC,51.53
TUAA2,06/01/2022 03:45 UTC,49.75
TUAA2,06/01/2022 03:50 UTC,50.67
TUAA2,06/01/2022 03:55 UTC,50.76
