Sensor,Area,Site,Plot,depth_cm
redox_4_1-1_fromtip_Avg,West,Dry,1,30
redox_4_1-2_fromtip_Avg,West,Dry,1,20
redox_4_1-3_fromtip_Avg,West,Dry,1,10
redox_4_1-4_fromtip_Avg,West,Dry,1,5
redox_4_2-1_fromtip_Avg,West,Dry,2,30
redox_4_2-2_fromtip_Avg,West,Dry,2,20
redox_4_2-3_fromtip_Avg,West,Dry,2,10
redox_4_2-4_fromtip_Avg,West,Dry,2,5
redox_4_3-1_fromtip_Avg,West,Dry,3,30
redox_4_3-2_fromtip_Avg,West,Dry,3,20
redox_4_3-3_fromtip_Avg,West,Dry,3,10
redox_4_3-4_fromtip_Avg,West,Dry,3,5
redox_2_1-1_fromtip_Avg,West,Mesic,1,30
redox_2_1-2_fromtip_Avg,West,Mesic,1,20
redox_2_1-3_fromtip_Avg,West,Mesic,1,10
redox_2_1-4_fromtip_Avg,West,Mesic,1,5
redox_2_2-1_fromtip_Avg,West,Mesic,2,30
redox_2_2-2_fromtip_Avg,West,Mesic,2,20
redox_2_2-3_fromtip_Avg,West,Mesic,2,10
redox_2_2-4_fromtip_Avg,West,Mesic,2,5
redox_2_3-1_fromtip_Avg,West,Mesic,3,30
redox_2_3-2_fromtip_Avg,West,Mesic,3,20
redox_2_3-3_fromtip_Avg,West,Mesic,3,10
redox_2_3-4_fromtip_Avg,West,Mesic,3,5
Redox_6_1-8_fromtip_Avg,West,Hydric,1,5
Redox_6_1-7_fromtip_Avg,West,Hydric,1,7
Redox_6_1-6_fromtip_Avg,West,Hydric,1,9
Redox_6_1-5_fromtip_Avg,West,Hydric,1,11
Redox_6_1-4_fromtip_Avg,West,Hydric,1,13
Redox_6_1-3_fromtip_Avg,West,Hydric,1,23
Redox_6_1-2_fromtip_Avg,West,Hydric,1,33
Redox_6_1-1_fromtip_Avg,West,Hydric,1,53
Redox_6_2-8_fromtip_Avg,West,Hydric,2,5
Redox_6_2-7_fromtip_Avg,West,Hydric,2,7
Redox_6_2-6_fromtip_Avg,West,Hydric,2,9
Redox_6_2-5_fromtip_Avg,West,Hydric,2,11
Redox_6_2-4_fromtip_Avg,West,Hydric,2,13
Redox_6_2-3_fromtip_Avg,West,Hydric,2,23
Redox_6_2-2_fromtip_Avg,West,Hydric,2,33
Redox_6_2-1_fromtip_Avg,West,Hydric,2,53
Redox_6_3-8_fromtip_Avg,West,Hydric,3,5
Redox_6_3-7_fromtip_Avg,West,Hydric,3,7
Redox_6_3-6_fromtip_Avg,West,Hydric,3,9
Redox_6_3-5_fromtip_Avg,West,Hydric,3,11
Redox_6_3-4_fromtip_Avg,West,Hydric,3,13
Redox_6_3-3_fromtip_Avg,West,Hydric,3,23
Redox_6_3-2_fromtip_Avg,West,Hydric,3,33
Redox_6_3-1_fromtip_Avg,West,Hydric,3,53
redox_3_1-1_fromtip_Avg,East,Dry,1,30
redox_3_1-2_fromtip_Avg,East,Dry,1,20
redox_3_1-3_fromtip_Avg,East,Dry,1,10
redox_3_1-4_fromtip_Avg,East,Dry,1,5
redox_3_2-1_fromtip_Avg,East,Dry,2,25
redox_3_2-2_fromtip_Avg,East,Dry,2,15
redox_3_2-3_fromtip_Avg,East,Dry,2,5
redox_3_2-4_fromtip_Avg,East,Dry,2,n.a.
redox_3_3-1_fromtip_Avg,East,Dry,3,30
