Date,Area,Site,Plot,Plot_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Std.Dev.
20-Jun-22,East,Dry,1,E-D1,10,34,16,12,15,35,13,11,29,14,27,38,22,16,19,21,9
20-Jun-22,East,Dry,2,E-D2,22,11,30,22,9,18,23,11,27,9,25,11,23,8,10,17,8
20-Jun-22,East,Dry,3,E-D3,28,28,21,25,20,35,33,31,37,10,22,17,14,26,14,24,8
20-Jun-22,East,Mesic,1,E-M1,16,22,33,12,20,8,16,11,10,13,22,4,7,10,11,14,7
20-Jun-22,East,Mesic,2,E-M2,10,8,4,6,34,27,11,10,13,35,9,14,12,26,15,16,10
20-Jun-22,East,Mesic,3,E-M3,12,27,12,14,10,4,7,8,11,9,11,7,13,24,12,12,6
20-Jun-22,East,Hydric,1,E-H1,14,17,12,11,17,11,10,8,11,3,12,12,9,9,7,11,4
20-Jun-22,East,Hydric,2,E-H2,17,20,22,16,14,16,16,13,13,14,18,12,14,11,10,15,3
20-Jun-22,East,Hydric,3,E-H3,21,17,14,11,13,30,17,9,10,6,10,8,9,5,9,13,7
21-Jun-22,West,Dry,1,W-D1,10,9,9,9,10,11,9,11,12,7,13,12,13,8,14,10,2
21-Jun-22,West,Dry,2,W-D2,16,11,16,19,13,12,13,8,10,9,13,18,12,13,12,13,3
21-Jun-22,West,Dry,3,W-D3,13,4,14,13,11,13,12,9,11,11,8,12,10,10,8,11,3
21-Jun-22,West,Mesic,1,W-M1,18,16,17,14,13,19,11,13,10,13,29,12,13,15,16,15,5
21-Jun-22,West,Mesic,2,W-M2,9,18,13,11,16,19,16,11,14,17,30,24,14,15,19,16,5
21-Jun-22,West,Mesic,3,W-M3,12,11,12,10,20,12,11,23,18,17,20,16,22,21,22,16,5
21-Jun-22,West,Hydric,1,W-H1,20,17,22,26,28,23,24,27,29,26,30,22,30,30,20,25,4
21-Jun-22,West,Hydric,2,W-H2,26,21,26,23,42,20,30,30,23,27,26,25,30,20,19,26,6
21-Jun-22,West,Hydric,3,W-H3,24,16,17,23,22,28,23,25,21,16,20,12,20,28,28,22,5
27-Jun-22,East,Dry,1,E-D1,6,13,8,11,6,19,11,27,18,18,8,13,36,34,25,17,10
27-Jun-22,East,Dry,2,E-D2,10,13,34,31,24,12,12,10,13,33,30,25,17,27,39,22,10
27-Jun-22,East,Dry,3,E-D3,44,13,12,30,23,30,24,37,19,25,28,35,13,21,39,26,10
27-Jun-22,East,Mesic,1,E-M1,26,11,10,20,30,10,15,18,29,37,6,22,10,40,26,21,11
27-Jun-22,East,Mesic,2,E-M2,35,11,23,32,12,26,32,39,19,15,13,35,14,16,20,23,10
27-Jun-22,East,Mesic,3,E-M3,12,38,14,28,18,10,13,10,9,12,13,40,18,29,22,19,10
27-Jun-22,East,Hydric,1,E-H1,20,10,14,16,11,13,13,12,26,27,20,13,15,26,11,16,6
