Sample,LBC 1_ppm_CaCo3_pH,LBCeq_ppm_CaCo3_pH,pH 2,Ca_mgkg,K_mgkg,Mg_mgkg,Mn_mgkg,P_mgkg,Zn_mgkg,NH4-N_mgkg,NO3-N_mgkg,Cperc,Nperc,TOCperc,Sandperc,Siltperc,Clayperc,Soil Type
20210713-W-H2_01,2797,8111.3,6.44,15324.6141,196.78885,674.02425,454.0437,29.26215,34.0607,12.098,2.0785,35.671,2.078,41.203,,,,
20210713-W-D1_01,3686,10689.4,6.22,12815.7778,522.47685,779.9537,286.8148,69.72685,55.7222,22.151,2.113,39.597,0.964,47.195,,,,
20210713-W-M1_01,3108,9013.2,6.15,14251.5469,678.09375,873.625,346.53125,78.89065,52.2969,24.415,0.945,42.786,1.018,51.213,,,,
20210713-W-D2_01,6326,18345.4,4.64,8427.4924,1078.75,946.9091,242.6288,87.26515,28.5303,31.576,1.01,43.536,0.85,52.801,,,,
20210707-W-H2_01,3383,9810.7,6.51,14592.03075,259.41155,760.0731,586.28845,31.34615,38.53845,26.643,2.607,39.359,1.74,43.836,,,,
20210707-W-D3_02,3025,8772.5,6.08,13744.06775,89.93225,543.7874,288.6425,44.74535,39.5514,8.812,0.495,25.783,1.352,28.115,,,,
20210807-W-D3_02,2446,7093.4,6.07,11673.9737,94.47895,493.6342,327.26315,54.47895,19.2842,4.806,1.2835,23.879,1.366,24.763,,,,
20210714-E-H1_02,3193,9259.7,5.49,5642.32455,88.5,376.46055,857.7785,15.04825,26.66665,18.413,1.5535,21.745,1.244,20.775,,,,
20210714-E-D3_02,3674,10654.6,5.06,5438.8931,126.6105,345.404,163.36775,21.7174,5.8768,12.1375,1.13,24.977,1.381,26.639,,,,
20210713-W-D1_02,3077,8923.3,6.29,13996.6703,175.92755,638.8152,1100.80435,61.2971,43.7464,9.584,1.406,25.712,1.259,27.888,,,,
20210714-W-M2_0,2249,6522.1,4.63,1732.6437,324.4446,291.7021,399.66315,40,12.6617,11.564,0.718,16.456,0.566,15.755,,,,
20210707-W-H3_02,2973,8621.7,6.35,16144.20835,144.86905,769.14285,2298.08035,20.372,145.6131,17.1515,1.394,36.669,2.019,39.993,,,,
20210707-W-D1_0,5002,14505.8,6.26,12177.2108,460.5588,755.7794,767.92645,66.89705,67.5147,20.6275,0.98,38.542,1.151,43.886,,,,
